Time,Subject,Midline
0.03125,CTEEG_Control_62,5.62e-7
0.03125,CTEEG_Control_65,1.21e-6
0.039062,CTEEG_Control_30,1.67e-6
0.039062,CTEEG_Control_31,2.2e-6
0.039062,CTEEG_Control_32,2.87e-6
0.039062,CTEEG_Control_33,1.7e-6
0.039062,CTEEG_Control_34,2.35e-6
0.039062,CTEEG_Control_35,7.31e-7
0.039062,CTEEG_Control_36,3.35e-6
0.039062,CTEEG_Control_37,1.76e-6
0.039062,CTEEG_Control_38,1.49e-6
0.039062,CTEEG_Control_41,2.16e-6
0.039062,CTEEG_Control_42,1.25e-6
0.039062,CTEEG_Control_43,1.49e-6
0.039062,CTEEG_Control_46,2.85e-6
0.039062,CTEEG_Control_47,9.6e-7
0.039062,CTEEG_Control_48,1.27e-6
0.039062,CTEEG_Control_51,1.02e-6
0.039062,CTEEG_Control_52,6.28e-6
0.039062,CTEEG_Control_53,1.34e-6
0.039062,CTEEG_Control_54,1.22e-6
0.039062,CTEEG_Control_55,1.69e-6
0.039062,CTEEG_Control_56,1.25e-6
0.039062,CTEEG_Control_59,2.02e-6
0.039062,CTEEG_Control_61,1.81e-6
0.039062,CTEEG_Control_62,5.58e-7
0.039062,CTEEG_Control_65,1.21e-6
0.046875,CTEEG_Control_30,1.64e-6
0.046875,CTEEG_Control_31,2.18e-6
0.046875,CTEEG_Control_32,2.84e-6
0.046875,CTEEG_Control_33,1.7e-6
0.046875,CTEEG_Control_34,2.34e-6
0.046875,CTEEG_Control_35,7.27e-7
0.046875,CTEEG_Control_36,3.32e-6
0.046875,CTEEG_Control_37,1.75e-6
0.046875,CTEEG_Control_38,1.49e-6
0.046875,CTEEG_Control_41,2.12e-6
0.046875,CTEEG_Control_42,1.26e-6
0.046875,CTEEG_Control_43,1.48e-6
0.046875,CTEEG_Control_46,2.86e-6
0.046875,CTEEG_Control_47,9.43e-7
0.046875,CTEEG_Control_48,1.27e-6
0.046875,CTEEG_Control_51,1e-6
0.046875,CTEEG_Control_52,6.32e-6
0.046875,CTEEG_Control_53,1.34e-6
0.046875,CTEEG_Control_54,1.2e-6
0.046875,CTEEG_Control_55,1.67e-6
0.046875,CTEEG_Control_56,1.25e-6
0.046875,CTEEG_Control_59,2e-6
0.046875,CTEEG_Control_61,1.84e-6
0.046875,CTEEG_Control_62,5.55e-7
0.046875,CTEEG_Control_65,1.22e-6
0.054688,CTEEG_Control_30,1.6e-6
0.054688,CTEEG_Control_31,2.17e-6
0.054688,CTEEG_Control_32,2.81e-6
0.054688,CTEEG_Control_33,1.7e-6
0.054688,CTEEG_Control_34,2.33e-6
0.054688,CTEEG_Control_35,7.25e-7
0.054688,CTEEG_Control_36,3.29e-6
0.054688,CTEEG_Control_37,1.75e-6
0.054688,CTEEG_Control_38,1.48e-6
0.054688,CTEEG_Control_41,2.09e-6
0.054688,CTEEG_Control_42,1.26e-6
0.054688,CTEEG_Control_43,1.47e-6
0.054688,CTEEG_Control_46,2.86e-6
0.054688,CTEEG_Control_47,9.29e-7
0.054688,CTEEG_Control_48,1.28e-6
0.054688,CTEEG_Control_51,9.8e-7
0.054688,CTEEG_Control_52,6.36e-6
0.054688,CTEEG_Control_53,1.35e-6
0.054688,CTEEG_Control_54,1.18e-6
0.054688,CTEEG_Control_55,1.65e-6
0.054688,CTEEG_Control_56,1.25e-6
0.054688,CTEEG_Control_59,1.98e-6
0.054688,CTEEG_Control_61,1.87e-6
0.054688,CTEEG_Control_62,5.53e-7
0.054688,CTEEG_Control_65,1.23e-6
0.0625,CTEEG_Control_30,1.57e-6
0.0625,CTEEG_Control_31,2.15e-6
0.0625,CTEEG_Control_32,2.78e-6
0.0625,CTEEG_Control_33,1.69e-6
0.0625,CTEEG_Control_34,2.31e-6
0.0625,CTEEG_Control_35,7.23e-7
0.0625,CTEEG_Control_36,3.26e-6
0.0625,CTEEG_Control_37,1.75e-6
0.0625,CTEEG_Control_38,1.48e-6
0.0625,CTEEG_Control_41,2.06e-6
0.0625,CTEEG_Control_42,1.27e-6
0.0625,CTEEG_Control_43,1.46e-6
0.0625,CTEEG_Control_46,2.86e-6
0.0625,CTEEG_Control_47,9.16e-7
0.0625,CTEEG_Control_48,1.28e-6
0.0625,CTEEG_Control_51,9.6e-7
0.0625,CTEEG_Control_52,6.4e-6
