"","Subject","MM_Intercept","MM_Hess","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","Class","dis_sum","angle_sum","average_speed","idle_time"
"1","CTEEG030",0.061129913590204,0.705040325649103,0.372955391086371,-0.000385928021961962,0.394,0.253,0.073,0.048,0.315457413249211,0.684542586750789,0.403,0.297,0.214,0.071,0.016,0.033,0.286014721345952,0.35856992639327,0.355415352260778,0.2,0.302,0.403,0.261,0.028,0.012,0.07,0.014,0.256572029442692,0.286014721345952,0.289169295478444,0.168243953732913,0.339,0.297,0.2,0.261,0.447,0.017,0.008,0.028,0.014,0.067,0.19453207150368,0.219768664563617,0.256572029442692,0.170347003154574,0.158780231335436,"control",0.207386206584329,0.165183732427871,0.502991390675008,0.0294117647058824
"2","CTEEG031",0.0201628650732807,-88.3918668850606,0.351784880602198,-0.000364772754505508,0.224,0.442,0.029,0.149,0.590447154471545,0.409552845528455,0.25,0.201,0.443,0.016,0.017,0.149,0.283536585365854,0.306910569105691,0.409552845528455,0.25,0.633,0.368,0.201,0.015,0.153,0.044,0.017,0.283536585365854,0.113821138211382,0.295731707317073,0.306910569105691,0.187,0.252,0.216,0.368,0.633,0.01,0.014,0.008,0.044,0.153,0.149390243902439,0.257113821138211,0.183943089430894,0.295731707317073,0.113821138211382,"control",0.3353860432661,0.178138499952908,0.692403575030392,0
"3","CTEEG032",-0.0449126298932102,-101.184205908568,0.212457321309017,-0.000230362894964302,0.126,0.261,0.022,0.09,0.470643939393939,0.529356060606061,0.208,0.125,0.352,0.026,0.021,0.091,0.352272727272727,0.456439393939394,0.191287878787879,0.205,0.097,0.351,0.133,0.027,0.015,0.091,0.009,0.375,0.121212121212121,0.192234848484848,0.31155303030303,0.098,0.128,0.146,0.207,0.352,0.016,0.004,0.007,0.026,0.091,0.129734848484848,0.18844696969697,0.133522727272727,0.357007575757576,0.191287878787879,"control",0.106150151985142,0.0459169066366459,0.161535842083549,0.264705882352941
"4","CTEEG033",-0.00181625374875894,-48.0167299903276,0.26613479636997,-0.000271717627627494,0.308,0.171,0.059,0.031,0.423728813559322,0.576271186440678,0.167,0.258,0.359,0.029,0.027,0.048,0.536128456735058,0.272078501338091,0.191793041926851,0.19,0.306,0.121,0.147,0.015,0.06,0.006,0.009,0.354148082069581,0.433541480820696,0.0954504906333631,0.11685994647636,0.121,0.188,0.147,0.259,0.36,0.006,0.013,0.009,0.026,0.048,0.0954504906333631,0.329170383586084,0.11685994647636,0.266726137377342,0.191793041926851,"control",0.211527056857265,0.905673204797827,0.52300174364235,0.0882352941176471
"5","CTEEG034",0.0372012771534417,-95.7924862739317,0.377898754952888,-0.000373998781241458,0.418,0.236,0.08,0.059,0.41207075962539,0.58792924037461,0.29,0.169,0.444,0.034,0.025,0.074,0.45681581685744,0.227887617065557,0.315296566077003,0.29,0.192,0.444,0.15,0.033,0.013,0.074,0.013,0.45681581685744,0.105098855359001,0.315296566077003,0.122788761706556,0.337,0.171,0.251,0.281,0.468,0.022,0.026,0.007,0.011,0.068,0.262226847034339,0.234131113423517,0.123829344432882,0.138397502601457,0.241415192507804,"control",0.342820277090676,0.0125210389372488,0.702597521631448,0
"6","CTEEG035",-0.0208873595166854,20.9066153705931,0.245991997303151,-0.000314979124290534,0.169,0.231,0.027,0.104,0.558428128231644,0.441571871768356,0.179,0.097,0.284,0.021,0.034,0.06,0.472595656670114,0.198552223371251,0.328852119958635,0.095,0.322,0.217,0.166,0.033,0.054,0.017,0.013,0.1923474663909,0.185108583247156,0.30506721820062,0.317476732161324,0.173,0.322,0.136,0.218,0.067,0.009,0.054,0.015,0.017,0.023,0.22440537745605,0.185108583247156,0.188210961737332,0.304033092037229,0.0982419855222337,"control",0.228653012965974,0.122097572825151,0.350665416243059,0.147058823529412
"7","CTEEG036",0.230710278507497,-12.2475166379738,0.537978621540282,-0.000349470803130993,0.533,0.466,0.134,0.032,0.40972972972973,0.59027027027027,0.494,0.438,0.537,0.018,0.02,0.138,0.334054054054054,0.303783783783784,0.362162162162162,0.469,0.701,0.393,0.533,0.015,0.079,0.037,0.025,0.339459459459459,0.0983783783783784,0.254054054054054,0.308108108108108,0.701,0.353,0.422,0.469,0.533,0.079,0.022,0.011,0.015,0.025,0.0983783783783784,0.103783783783784,0.157837837837838,0.331891891891892,0.308108108108108,"control",0.330320317687867,0.181137872426019,0.68907706372236,0
"8","CTEEG037",-0.0310088081418663,-25.6514278535415,0.227319017320613,-0.000268396863572632,0.258,0.125,0.06,0.033,0.470124013528749,0.529875986471251,0.125,0.222,0.328,0.032,0.023,0.046,0.527621195039459,0.315670800450958,0.156708004509583,0.101,0.328,0.159,0.224,0.019,0.046,0.013,0.022,0.304396843291996,0.156708004509583,0.235625704622322,0.303269447576099,0.209,0.101,0.343,0.253,0.159,0.013,0.019,0.041,0.014,0.013,0.190529875986471,0.304396843291996,0.122886133032694,0.149943630214205,0.232243517474634,"control",0.28806246722333,0.0706845482111755,0.516638282893677,0.0588235294117647
"9","CTEEG038",0.0265278986370162,2.49619986024493,0.275474848061667,-0.000257027185060145,0.183,0.3,0.036,0.035,0.504357298474945,0.495642701525054,0.264,0.326,0.181,0.014,0.022,0.035,0.229847494553377,0.277777777777778,0.492374727668845,0.215,0.266,0.326,0.155,0.014,0.012,0.022,0.023,0.227668845315904,0.21677559912854,0.278867102396514,0.276688453159041,0.215,0.338,0.297,0.155,0.263,0.014,0.016,0.01,0.023,0.01,0.23202614379085,0.188453159041394,0.120915032679739,0.276688453159041,0.181917211328976,"control",0.268007007460597,0.124120261799052,0.45415028356512,0.0882352941176471
"10","CTEEG041",0.139074719286057,126.903892846474,0.390579381684094,-0.000344602892436727,0.253,0.396,0.055,0.054,0.424528301886792,0.575471698113208,0.289,0.186,0.396,0.019,0.033,0.054,0.277777777777778,0.150943396226415,0.571278825995807,0.186,0.289,0.364,0.458,0.033,0.018,0.021,0.042,0.150943396226415,0.273584905660377,0.381551362683438,0.193920335429769,0.458,0.286,0.381,0.187,0.342,0.042,0.016,0.01,0.033,0.014,0.193920335429769,0.249475890985325,0.20335429769392,0.150943396226415,0.20230607966457,"control",0.287260125084784,0.462651232464466,0.499330103507854,0.0588235294117647
