"","Subject","MM_Intercept","MM_Hess","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","Class","dis_sum","angle_sum","average_speed","idle_time"
"22","CTEEG006",-4.81128624419854e-08,6.97463375853052e-08,5.66745011906585e-07,-4.15014768599832e-10,0.398,0.589,0.047,0.081,0.488014751075599,0.511985248924401,0.496,0.384,0.641,0.03,0.04,0.063,0.301782421634911,0.393362015980332,0.304855562384757,0.512,0.643,0.432,0.357,0.022,0.062,0.021,0.03,0.229256299938537,0.295021511985249,0.250153657037492,0.225568531038722,0.644,0.513,0.406,0.349,0.449,0.062,0.022,0.012,0.028,0.013,0.295021511985249,0.223110018438845,0.149354640442532,0.184388444990781,0.148125384142594,"experiment",1.14682873060086,732.559366045595,0.00550000325374223,1.5
"23","CTEEG008",-2.7859164207943e-08,4.03857631039548e-08,6.1664561289023e-07,-4.84254235951964e-10,0.447,0.679,0.051,0.114,0.519013360739979,0.480986639260021,0.528,0.713,0.42,0.034,0.108,0.037,0.272867420349435,0.372559095580678,0.354573484069887,0.383,0.53,0.445,0.713,0.027,0.033,0.018,0.108,0.136690647482014,0.266187050359712,0.225077081192189,0.372045220966084,0.522,0.791,0.382,0.634,0.444,0.029,0.108,0.027,0.032,0.017,0.242034943473792,0.178314491264132,0.13617677286742,0.224049331963001,0.219424460431655,"experiment",1.6058765418846,581.283067676382,0.00739495180656647,0.5
"24","CTEEG009",4.93144534286267e-08,-7.14882120733663e-08,6.81339783917283e-07,-4.32935685236078e-10,0.787,0.499,0.087,0.084,0.335347432024169,0.664652567975831,0.428,0.793,0.572,0.05,0.083,0.04,0.327794561933535,0.321752265861027,0.350453172205438,0.502,0.404,0.791,0.589,0.022,0.038,0.085,0.028,0.188821752265861,0.231117824773414,0.326283987915408,0.253776435045317,0.591,0.793,0.444,0.376,0.509,0.029,0.083,0.019,0.029,0.019,0.255287009063444,0.321752265861027,0.131419939577039,0.128398791540786,0.163141993957704,"experiment",4.78757663572479,1342.11348476457,0.00214586372515931,2.75
"25","CTEEG011",-1.74283227798737e-07,2.5264796610267e-07,3.77398905496881e-07,-2.57984712611858e-10,0.42,0.309,0.048,0.034,0.365738925911407,0.634261074088593,0.438,0.348,0.284,0.044,0.017,0.024,0.269110152881223,0.38671109368875,0.344178753430027,0.438,0.35,0.26,0.303,0.044,0.016,0.015,0.011,0.263818110544884,0.371226969815759,0.14327714621717,0.221677773422187,0.301,0.456,0.377,0.26,0.338,0.01,0.039,0.014,0.015,0.01,0.201489611916895,0.192277538220306,0.205605644845159,0.142689141513132,0.257938063504508,"experiment",3.9803914151957,2158.96327401554,0.00220223987738615,2.75
"26","CTEEG012",2.04915760465058e-08,-2.97054112271201e-08,6.70157956416536e-07,-4.93095673355009e-10,0.737,0.511,0.106,0.084,0.370722922562387,0.629277077437613,0.593,0.441,0.776,0.036,0.063,0.1,0.428350913300746,0.302932853100077,0.268716233599177,0.795,0.634,0.559,0.429,0.098,0.024,0.024,0.058,0.227682016979676,0.232827373295601,0.277077437612555,0.262413172112169,0.576,0.393,0.64,0.799,0.505,0.016,0.045,0.024,0.097,0.026,0.215204527913558,0.160921018780551,0.21713403653203,0.220864419861075,0.185875996912786,"experiment",5.59066318999978,2593.48062766524,0.00109080511908989,7.5
"27","CTEEG013",-1.36373308778749e-07,1.97692224689853e-07,4.59099506694969e-07,-3.68970046838644e-10,0.494,0.383,0.166,0.042,0.316890415235717,0.683109584764284,0.322,0.41,0.557,0.032,0.024,0.136,0.31158289103965,0.446456447080862,0.241960661879488,0.321,0.47,0.401,0.676,0.032,0.024,0.018,0.159,0.305650952232282,0.234155479238214,0.367780206056822,0.0924133624726819,0.412,0.471,0.307,0.37,0.676,0.011,0.024,0.026,0.013,0.159,0.255073368716828,0.229160162347799,0.222603808929129,0.200749297533562,0.0924133624726819,"experiment",2.53862348953132,1462.39658984484,0.00301004482949645,2.25
"28","CTEEG015",-8.84525278658613e-08,1.28224336845746e-07,5.91875360750908e-07,-5.72043546458723e-10,0.452,0.702,0.076,0.152,0.667005592272496,0.332994407727504,0.729,0.517,0.38,0.154,0.04,0.05,0.266014234875445,0.442170818505338,0.291814946619217,0.751,0.471,0.556,0.363,0.157,0.023,0.029,0.043,0.232587697000508,0.267920691408236,0.272877478393493,0.226614133197763,0.421,0.558,0.482,0.752,0.337,0.021,0.028,0.017,0.157,0.031,0.151245551601424,0.267539400101678,0.206278596847992,0.231952211489578,0.142984239959329,"experiment",6.30984593175125,1424.20342108723,0.00156697056769328,2.75
"29","CTEEG017",-3.47419755814724e-08,5.03633633298304e-08,6.20418605963487e-07,-5.08367394230168e-10,0.679,0.469,0.087,0.069,0.342701014832162,0.657298985167838,0.686,0.411,0.526,0.085,0.049,0.028,0.321493624772313,0.316679677335415,0.361826697892272,0.469,0.54,0.692,0.377,0.022,0.024,0.083,0.039,0.225474889409316,0.292349726775956,0.303018475149623,0.179156908665105,0.45,0.516,0.363,0.727,0.584,0.021,0.017,0.034,0.075,0.027,0.204527712724434,0.236533957845433,0.134790528233151,0.211163153786105,0.212984647410877,"experiment",5.99843407148315,2850.46610487517,0.00175462305049575,3
"30","CTEEG018",-1.45341841491809e-08,2.10693367590542e-08,6.40386852407703e-07,-5.08075020930995e-10,0.752,0.476,0.153,0.06,0.335443037974684,0.664556962025316,0.786,0.541,0.427,0.148,0.035,0.032,0.268987341772152,0.380650994575045,0.350361663652803,0.527,0.888,0.636,0.426,0.026,0.127,0.044,0.032,0.301084990958409,0.150542495479204,0.203435804701627,0.34493670886076,0.796,0.562,0.396,0.492,0.44,0.146,0.029,0.019,0.015,0.013,0.260397830018083,0.275316455696203,0.146473779385172,0.166365280289331,0.151446654611212,"experiment",1.88215217961155,780.435882831528,0.00642328911308298,0.5
"31","CTEEG019",-3.40508968113103e-08,4.93615475915444e-08,6.16098461248965e-07,-4.97477561085725e-10,0.703,0.475,0.084,0.068,0.405685747214752,0.594314252785248,0.529,0.708,0.408,0.033,0.083,0.039,0.349980791394545,0.391087207068767,0.258932001536688,0.517,0.762,0.407,0.614,0.025,0.063,0.039,0.031,0.283134844410296,0.229350749135613,0.256242796772954,0.231271609681137,0.615,0.379,0.526,0.762,0.46,0.031,0.022,0.019,0.063,0.021,0.226661544371879,0.151363810987322,0.227045716480983,0.229350749135613,0.165578179024203,"experiment",1.64205223732692,761.700258413434,0.00135211594504591,7.75
"32","CTEEG021",-1.1303383436301e-07,1.63858385815393e-07,4.72161400970183e-07,-3.37401935910068e-10,0.512,0.367,0.068,0.049,0.436078222695224,0.563921777304776,0.326,0.409,0.523,0.04,0.023,0.066,0.258081681521884,0.367832912065984,0.374085406412133,0.577,0.394,0.318,0.464,0.06,0.018,0.038,0.023,0.173872555540774,0.30850073167487,0.219103365704403,0.298523347079952,0.478,0.579,0.426,0.381,0.313,0.017,0.06,0.014,0.013,0.037,0.208460822136491,0.166422775043235,0.203538645736331,0.226287082612744,0.195290674471199,"experiment",6.50762050615232,2450.29323302676,0.00185591846169993,1.25
"33","CTEEG022",1.96637552269895e-07,-2.85053692503604e-07,9.62210187244854e-07,-7.55106454768893e-10,1.004,0.664,0.163,0.092,0.57847295864263,0.42152704135737,0.88,0.649,1.14,0.055,0.085,0.146,0.349946977730647,0.378048780487805,0.272004241781548,0.579,0.891,0.738,1.142,0.05,0.049,0.038,0.146,0.199363732767762,0.322905620360551,0.218451749734889,0.259278897136797,0.548,1.142,0.654,0.892,0.752,0.032,0.146,0.03,0.049,0.03,0.127253446447508,0.259278897136797,0.114528101802757,0.320784729586426,0.178154825026511,"experiment",1.22843795843252,170.19668223096,0.00437498334349441,2.25
"34","CTEEG023",1.92789284883569e-07,-2.79475089413278e-07,8.9466655266373e-07,-6.12937360068291e-10,0.712,1.073,0.099,0.182,0.65055387713998,0.34944612286002,0.786,0.625,1.078,0.045,0.075,0.18,0.362789526686808,0.293554884189325,0.343655589123867,1.124,0.844,0.593,0.727,0.176,0.045,0.067,0.027,0.27190332326284,0.268126888217523,0.202920443101712,0.257049345417925,0.747,1.125,0.687,0.846,0.57,0.017,0.176,0.021,0.044,0.062,0.164652567975831,0.270644511581067,0.149798590130916,0.261581067472306,0.153323262839879,"experiment",3.40277740130909,1090.22120798935,0.00299913922660836,1.25
"35","CTEEG024",-1.71133685877996e-07,2.48082263870708e-07,3.89330216216559e-07,-2.76890437114071e-10,0.311,0.415,0.038,0.044,0.49789889214313,0.50210110785687,0.294,0.365,0.442,0.033,0.017,0.039,0.334267159047498,0.369412963198778,0.296319877753725,0.374,0.447,0.264,0.325,0.015,0.038,0.026,0.014,0.320259773335031,0.264866929835732,0.153062523876226,0.261810772953012,0.402,0.362,0.469,0.321,0.262,0.013,0.011,0.033,0.013,0.025,0.215204380491532,0.248694766331338,0.160448236342799,0.234814720488985,0.140837896345346,"experiment",6.57067955977894,914.488334528273,0.00223565696621939,0.5
"36","CTEEG049",-8.6085397436933e-09,1.24792853627719e-08,6.68645414049234e-07,-5.62370931514582e-10,0.449,0.702,0.06,0.128,0.448526597780329,0.551473402219671,0.803,0.607,0.44,0.122,0.044,0.055,0.253348641408343,0.341370072713356,0.405281285878301,0.409,0.642,0.521,0.836,0.04,0.039,0.032,0.122,0.261576731725985,0.303291236127057,0.241484883275928,0.193647148871029,0.49,0.581,0.678,0.399,0.861,0.024,0.027,0.032,0.036,0.122,0.190011481056257,0.207807118254879,0.223306544202067,0.220244929200153,0.158629927286644,"experiment",4.25137124677206,1998.90717826579,0.00315436361197428,0.5
"37","CTEEG057",-1.52886727706232e-07,2.21630740057819e-07,4.20289108782423e-07,-3.16863167768569e-10,0.476,0.303,0.107,0.038,0.463562033416282,0.536437966583718,0.282,0.548,0.375,0.029,0.108,0.034,0.35087095627444,0.235691432634198,0.413437611091362,0.332,0.403,0.271,0.561,0.015,0.025,0.025,0.108,0.250266619267686,0.275151084251689,0.264841805901173,0.209740490579453,0.439,0.271,0.385,0.586,0.331,0.02,0.025,0.013,0.108,0.014,0.153572698186989,0.265908282971916,0.169214361891219,0.165303945965162,0.246000710984714,"experiment",2.36303629647036,1462.01974547631,0.00471434510660249,0.5
"38","CTEEG058",8.21313370158212e-08,-1.19060885275969e-07,7.88366037339366e-07,-6.30959248446633e-10,0.882,0.538,0.164,0.092,0.392948717948718,0.607051282051282,0.482,0.934,0.657,0.067,0.154,0.05,0.379102564102564,0.301666666666667,0.319230769230769,0.549,0.947,0.677,0.43,0.03,0.152,0.047,0.05,0.237435897435897,0.28,0.287051282051282,0.195512820512821,0.43,0.819,0.659,1.087,0.547,0.05,0.057,0.037,0.131,0.029,0.194871794871795,0.214871794871795,0.241282051282051,0.119358974358974,0.229615384615385,"experiment",6.20362783603441,1422.76527729721,0.00135660128306856,3.5
"39","CTEEG060",-1.38066746514647e-08,2.00147099722993e-08,6.45280533493064e-07,-5.19281811536158e-10,0.43,0.694,0.067,0.092,0.436170212765957,0.563829787234043,0.732,0.544,0.391,0.075,0.046,0.047,0.418439716312057,0.294326241134752,0.287234042553192,0.571,0.818,0.413,0.687,0.036,0.051,0.058,0.025,0.224822695035461,0.152482269503546,0.373758865248227,0.248936170212766,0.822,0.542,0.391,0.71,0.661,0.049,0.045,0.047,0.016,0.019,0.145390070921986,0.28936170212766,0.287234042553192,0.129078014184397,0.148936170212766,"experiment",1.0911266679679,119.146607647625,0.00658596656371735,1
