"","Subject","MM_Intercept","MM_Hess","features_class","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"1","CTEEG030",0.061129913590204,0.705040325649103,"control",0.372955391086371,-0.000385928021961962,0.394,0.253,0.073,0.048,0.315457413249211,0.684542586750789,0.403,0.297,0.214,0.071,0.016,0.033,0.286014721345952,0.35856992639327,0.355415352260778,0.2,0.302,0.403,0.261,0.028,0.012,0.07,0.014,0.256572029442692,0.286014721345952,0.289169295478444,0.168243953732913,0.339,0.297,0.2,0.261,0.447,0.017,0.008,0.028,0.014,0.067,0.19453207150368,0.219768664563617,0.256572029442692,0.170347003154574,0.158780231335436
"2","CTEEG031",0.0201628650732807,-88.3918668850606,"control",0.351784880602198,-0.000364772754505508,0.224,0.442,0.029,0.149,0.590447154471545,0.409552845528455,0.25,0.201,0.443,0.016,0.017,0.149,0.283536585365854,0.306910569105691,0.409552845528455,0.25,0.633,0.368,0.201,0.015,0.153,0.044,0.017,0.283536585365854,0.113821138211382,0.295731707317073,0.306910569105691,0.187,0.252,0.216,0.368,0.633,0.01,0.014,0.008,0.044,0.153,0.149390243902439,0.257113821138211,0.183943089430894,0.295731707317073,0.113821138211382
"3","CTEEG032",-0.0449126298932102,-101.184205908568,"control",0.212457321309017,-0.000230362894964302,0.126,0.261,0.022,0.09,0.470643939393939,0.529356060606061,0.208,0.125,0.352,0.026,0.021,0.091,0.352272727272727,0.456439393939394,0.191287878787879,0.205,0.097,0.351,0.133,0.027,0.015,0.091,0.009,0.375,0.121212121212121,0.192234848484848,0.31155303030303,0.098,0.128,0.146,0.207,0.352,0.016,0.004,0.007,0.026,0.091,0.129734848484848,0.18844696969697,0.133522727272727,0.357007575757576,0.191287878787879
"4","CTEEG033",-0.00181625374875894,-48.0167299903276,"control",0.26613479636997,-0.000271717627627494,0.308,0.171,0.059,0.031,0.423728813559322,0.576271186440678,0.167,0.258,0.359,0.029,0.027,0.048,0.536128456735058,0.272078501338091,0.191793041926851,0.19,0.306,0.121,0.147,0.015,0.06,0.006,0.009,0.354148082069581,0.433541480820696,0.0954504906333631,0.11685994647636,0.121,0.188,0.147,0.259,0.36,0.006,0.013,0.009,0.026,0.048,0.0954504906333631,0.329170383586084,0.11685994647636,0.266726137377342,0.191793041926851
"5","CTEEG034",0.0372012771534417,-95.7924862739317,"control",0.377898754952888,-0.000373998781241458,0.418,0.236,0.08,0.059,0.41207075962539,0.58792924037461,0.29,0.169,0.444,0.034,0.025,0.074,0.45681581685744,0.227887617065557,0.315296566077003,0.29,0.192,0.444,0.15,0.033,0.013,0.074,0.013,0.45681581685744,0.105098855359001,0.315296566077003,0.122788761706556,0.337,0.171,0.251,0.281,0.468,0.022,0.026,0.007,0.011,0.068,0.262226847034339,0.234131113423517,0.123829344432882,0.138397502601457,0.241415192507804
"6","CTEEG035",-0.0208873595166854,20.9066153705931,"control",0.245991997303151,-0.000314979124290534,0.169,0.231,0.027,0.104,0.558428128231644,0.441571871768356,0.179,0.097,0.284,0.021,0.034,0.06,0.472595656670114,0.198552223371251,0.328852119958635,0.095,0.322,0.217,0.166,0.033,0.054,0.017,0.013,0.1923474663909,0.185108583247156,0.30506721820062,0.317476732161324,0.173,0.322,0.136,0.218,0.067,0.009,0.054,0.015,0.017,0.023,0.22440537745605,0.185108583247156,0.188210961737332,0.304033092037229,0.0982419855222337
"7","CTEEG036",0.230710278507497,-12.2475166379738,"control",0.537978621540282,-0.000349470803130993,0.533,0.466,0.134,0.032,0.40972972972973,0.59027027027027,0.494,0.438,0.537,0.018,0.02,0.138,0.334054054054054,0.303783783783784,0.362162162162162,0.469,0.701,0.393,0.533,0.015,0.079,0.037,0.025,0.339459459459459,0.0983783783783784,0.254054054054054,0.308108108108108,0.701,0.353,0.422,0.469,0.533,0.079,0.022,0.011,0.015,0.025,0.0983783783783784,0.103783783783784,0.157837837837838,0.331891891891892,0.308108108108108
"8","CTEEG037",-0.0310088081418663,-25.6514278535415,"control",0.227319017320613,-0.000268396863572632,0.258,0.125,0.06,0.033,0.470124013528749,0.529875986471251,0.125,0.222,0.328,0.032,0.023,0.046,0.527621195039459,0.315670800450958,0.156708004509583,0.101,0.328,0.159,0.224,0.019,0.046,0.013,0.022,0.304396843291996,0.156708004509583,0.235625704622322,0.303269447576099,0.209,0.101,0.343,0.253,0.159,0.013,0.019,0.041,0.014,0.013,0.190529875986471,0.304396843291996,0.122886133032694,0.149943630214205,0.232243517474634
"9","CTEEG038",0.0265278986370162,2.49619986024493,"control",0.275474848061667,-0.000257027185060145,0.183,0.3,0.036,0.035,0.504357298474945,0.495642701525054,0.264,0.326,0.181,0.014,0.022,0.035,0.229847494553377,0.277777777777778,0.492374727668845,0.215,0.266,0.326,0.155,0.014,0.012,0.022,0.023,0.227668845315904,0.21677559912854,0.278867102396514,0.276688453159041,0.215,0.338,0.297,0.155,0.263,0.014,0.016,0.01,0.023,0.01,0.23202614379085,0.188453159041394,0.120915032679739,0.276688453159041,0.181917211328976
"10","CTEEG041",0.139074719286057,126.903892846474,"control",0.390579381684094,-0.000344602892436727,0.253,0.396,0.055,0.054,0.424528301886792,0.575471698113208,0.289,0.186,0.396,0.019,0.033,0.054,0.277777777777778,0.150943396226415,0.571278825995807,0.186,0.289,0.364,0.458,0.033,0.018,0.021,0.042,0.150943396226415,0.273584905660377,0.381551362683438,0.193920335429769,0.458,0.286,0.381,0.187,0.342,0.042,0.016,0.01,0.033,0.014,0.193920335429769,0.249475890985325,0.20335429769392,0.150943396226415,0.20230607966457
"11","CTEEG042",-0.0579111733463274,20.297585248984,"control",0.192362702663099,-0.000281206583399668,0.113,0.227,0.034,0.049,0.609014675052411,0.390985324947589,0.159,0.242,0.095,0.014,0.045,0.025,0.281970649895178,0.30083857442348,0.417190775681342,0.07,0.242,0.112,0.159,0.018,0.045,0.01,0.014,0.169811320754717,0.30188679245283,0.247379454926625,0.280922431865828,0.278,0.109,0.154,0.063,0.2,0.037,0.012,0.011,0.015,0.015,0.149895178197065,0.288259958071279,0.231656184486373,0.128930817610063,0.20125786163522
"12","CTEEG043",-0.0804325763410454,-16.2092944724946,"control",0.164332527044326,-0.000250386131201356,0.069,0.176,0.018,0.061,0.418335089567966,0.581664910432034,0.133,0.068,0.215,0.016,0.018,0.061,0.285563751317176,0.409905163329821,0.304531085353003,0.133,0.081,0.215,0.051,0.016,0.01,0.061,0.009,0.28345626975764,0.231822971548999,0.304531085353003,0.180189673340358,0.046,0.134,0.063,0.083,0.215,0.006,0.015,0.004,0.009,0.061,0.119072708113804,0.277133825079031,0.083245521601686,0.216016859852476,0.304531085353003
"13","CTEEG046",0.0345215893694982,-36.0836854033412,"control",0.335122378840225,-0.000339702088690097,0.234,0.504,0.047,0.126,0.793284365162644,0.206715634837356,0.314,0.217,0.551,0.027,0.034,0.107,0.208814270724029,0.633788037775446,0.157397691500525,0.171,0.551,0.313,0.234,0.024,0.107,0.027,0.017,0.178384050367261,0.157397691500525,0.213011542497377,0.451206715634837,0.253,0.316,0.17,0.221,0.551,0.01,0.026,0.023,0.01,0.107,0.198321091290661,0.200419727177335,0.169989506820567,0.273871983210913,0.157397691500525
"14","CTEEG047",-0.0580893328635503,35.7296719028861,"control",0.147228101057077,-0.000186790803264512,0.069,0.145,0.024,0.036,0.420477137176938,0.579522862823062,0.059,0.184,0.119,0.019,0.036,0.016,0.311133200795229,0.196819085487078,0.492047713717694,0.073,0.04,0.184,0.119,0.008,0.011,0.036,0.016,0.172962226640159,0.135188866799205,0.195825049701789,0.496023856858847,0.096,0.057,0.136,0.116,0.187,0.005,0.018,0.006,0.006,0.036,0.136182902584493,0.295228628230616,0.214711729622266,0.170974155069582,0.182902584493042
"15","CTEEG048",-0.0586630055525077,17.2189279513012,"control",0.128815977516983,-0.000138821181210911,0.142,0.09,0.023,0.017,0.444565217391304,0.555434782608696,0.11,0.074,0.155,0.01,0.009,0.021,0.465217391304348,0.256521739130435,0.278260869565217,0.155,0.086,0.068,0.111,0.021,0.006,0.005,0.009,0.275,0.135869565217391,0.15,0.439130434782609,0.122,0.07,0.092,0.158,0.105,0.006,0.007,0.006,0.02,0.004,0.222826086956522,0.196739130434783,0.126086956521739,0.240217391304348,0.214130434782609
"16","CTEEG051",0.0131580788813892,-9.26095496142806,"control",0.296388754183837,-0.000325182832894209,0.218,0.38,0.042,0.077,0.700575815738964,0.299424184261036,0.384,0.26,0.19,0.076,0.015,0.029,0.287907869481766,0.297504798464491,0.414587332053743,0.263,0.173,0.383,0.224,0.013,0.022,0.076,0.009,0.258157389635317,0.267754318618042,0.289827255278311,0.18426103646833,0.383,0.223,0.19,0.155,0.263,0.076,0.009,0.007,0.017,0.013,0.289827255278311,0.186180422264875,0.13531669865643,0.130518234165067,0.258157389635317
"17","CTEEG052",0.0398158248849266,-140.524357133672,"control",0.440634055766122,-0.000444224750574665,0.554,0.265,0.197,0.081,0.249448123620309,0.750551876379691,0.324,0.175,0.556,0.034,0.038,0.197,0.454746136865342,0.296909492273731,0.248344370860927,0.572,0.158,0.262,0.342,0.2,0.025,0.029,0.027,0.224061810154525,0.227373068432671,0.189845474613687,0.358719646799117,0.138,0.555,0.263,0.183,0.339,0.012,0.197,0.028,0.014,0.024,0.124724061810155,0.249448123620309,0.184326710816777,0.108167770419426,0.333333333333333
"18","CTEEG053",0.0168480179239045,8.72500344990931,"control",0.243311397996297,-0.000213199285750029,0.173,0.28,0.025,0.063,0.486021505376344,0.513978494623656,0.238,0.346,0.17,0.017,0.057,0.023,0.346236559139785,0.187096774193548,0.466666666666667,0.241,0.191,0.147,0.346,0.015,0.012,0.011,0.057,0.318279569892473,0.290322580645161,0.204301075268817,0.187096774193548,0.218,0.251,0.147,0.346,0.185,0.011,0.009,0.011,0.057,0.008,0.209677419354839,0.189247311827957,0.203225806451613,0.187096774193548,0.210752688172043
"19","CTEEG054",-0.0839055786515872,108.410565254875,"control",0.161478897581834,-0.000346247084124679,0.078,0.29,0.041,0.101,0.79646017699115,0.20353982300885,0.117,0.293,0.044,0.018,0.1,0.02,0.378318584070796,0.201327433628319,0.420353982300885,0.065,0.292,0.029,0.119,0.011,0.1,0.012,0.017,0.196902654867257,0.201327433628319,0.238938053097345,0.36283185840708,0.021,0.119,0.292,0.042,0.069,0.008,0.017,0.1,0.006,0.01,0.136061946902655,0.356194690265487,0.201327433628319,0.133849557522124,0.172566371681416
"20","CTEEG055",-0.043064360737595,7.54152779341511,"control",0.16880443824019,-0.000188420561782167,0.223,0.113,0.051,0.031,0.29923830250272,0.70076169749728,0.135,0.085,0.222,0.012,0.024,0.051,0.390642002176279,0.305767138193689,0.303590859630033,0.199,0.136,0.085,0.307,0.021,0.012,0.024,0.037,0.23721436343852,0.391730141458107,0.305767138193689,0.0652883569096844,0.11,0.14,0.307,0.063,0.198,0.009,0.008,0.037,0.016,0.022,0.254624591947769,0.292709466811752,0.0652883569096844,0.145810663764962,0.241566920565832
"21","CTEEG056",-0.0398395021727998,6.09627689459643,"control",0.149790972054295,-0.000138097720165896,0.176,0.105,0.036,0.018,0.30989010989011,0.69010989010989,0.094,0.183,0.127,0.011,0.034,0.008,0.452747252747253,0.268131868131868,0.279120879120879,0.127,0.085,0.103,0.183,0.008,0.007,0.005,0.034,0.278021978021978,0.221978021978022,0.230769230769231,0.269230769230769,0.12,0.085,0.132,0.181,0.102,0.004,0.007,0.003,0.035,0.004,0.132967032967033,0.221978021978022,0.13956043956044,0.279120879120879,0.226373626373626
"22","CTEEG059",0.0242964851364233,95.3095671473482,"control",0.252053179036429,-0.000266240917731496,0.143,0.256,0.025,0.052,0.302673796791444,0.697326203208556,0.143,0.309,0.222,0.025,0.041,0.018,0.302673796791444,0.271657754010695,0.425668449197861,0.143,0.218,0.335,0.263,0.025,0.015,0.033,0.014,0.301604278074866,0.370053475935829,0.159358288770053,0.168983957219251,0.204,0.167,0.236,0.127,0.311,0.009,0.009,0.01,0.017,0.04,0.188235294117647,0.117647058823529,0.252406417112299,0.180748663101604,0.26096256684492
"23","CTEEG061",0.0150910936494956,12.0950971874764,"control",0.282012707808813,-0.000304491075651037,0.332,0.189,0.07,0.031,0.441304347826087,0.558695652173913,0.383,0.264,0.187,0.051,0.017,0.03,0.244565217391304,0.215217391304348,0.540217391304348,0.168,0.264,0.215,0.383,0.023,0.016,0.009,0.051,0.316304347826087,0.21304347826087,0.225,0.245652173913043,0.185,0.383,0.215,0.147,0.264,0.007,0.051,0.008,0.018,0.016,0.179347826086957,0.245652173913043,0.218478260869565,0.142391304347826,0.214130434782609
"24","CTEEG062",-0.0847875781945404,30.9591802949173,"control",0.0914504589700887,-0.000117588550216648,0.094,0.045,0.019,0.016,0.607035175879397,0.392964824120603,0.044,0.083,0.118,0.016,0.008,0.011,0.382914572864322,0.428140703517588,0.18894472361809,0.025,0.047,0.094,0.059,0.009,0.003,0.019,0.004,0.126633165829146,0.11356783919598,0.605025125628141,0.154773869346734,0.089,0.075,0.112,0.044,0.132,0.004,0.004,0.006,0.015,0.007,0.242211055276382,0.187939698492462,0.126633165829146,0.379899497487437,0.0633165829145729
"25","CTEEG065",-0.0532198829326729,79.9673739916739,"control",0.168974896754427,-0.000253127786134343,0.133,0.132,0.047,0.047,0.534276387377584,0.465723612622416,0.183,0.083,0.133,0.019,0.022,0.011,0.356909684439608,0.369967355821545,0.273122959738847,0.183,0.134,0.064,0.1,0.019,0.01,0.016,0.008,0.356909684439608,0.263329706202394,0.176278563656148,0.20348204570185,0.119,0.098,0.064,0.185,0.141,0.006,0.007,0.016,0.018,0.008,0.110990206746464,0.177366702937976,0.173014145810664,0.339499455930359,0.199129488574538
"26","CTEEG002",-0.00960312476428794,1.13290183801393,"experiment",0.246211777111294,-0.000298302089182378,0.148,0.366,0.036,0.098,0.713197969543147,0.286802030456853,0.176,0.116,0.366,0.019,0.019,0.098,0.376903553299492,0.336294416243655,0.286802030456853,0.158,0.116,0.369,0.188,0.007,0.019,0.096,0.016,0.148477157360406,0.32994923857868,0.281725888324873,0.239847715736041,0.397,0.117,0.17,0.265,0.505,0.024,0.019,0.012,0.049,0.033,0.0621827411167513,0.338832487309645,0.313451776649746,0.213197969543147,0.0723350253807107
"27","CTEEG003",0.0379074133061492,-13.6357779117066,"experiment",0.331330801233224,-0.000340625104799971,0.212,0.389,0.049,0.104,0.633928571428571,0.366071428571429,0.184,0.441,0.287,0.032,0.105,0.024,0.427083333333333,0.220238095238095,0.352678571428571,0.273,0.185,0.568,0.343,0.014,0.032,0.06,0.032,0.229166666666667,0.430059523809524,0.0818452380952381,0.258928571428571,0.568,0.185,0.368,0.271,0.312,0.06,0.032,0.021,0.013,0.011,0.0818452380952381,0.431547619047619,0.139880952380952,0.214285714285714,0.132440476190476
"28","CTEEG004",0.101433507939928,-38.4627975808206,"experiment",0.484509023415733,-0.000463033866486467,0.562,0.325,0.118,0.055,0.366362451108214,0.633637548891786,0.264,0.366,0.574,0.017,0.036,0.116,0.235984354628422,0.426336375488918,0.33767926988266,0.264,0.349,0.626,0.435,0.017,0.024,0.102,0.025,0.235984354628422,0.312907431551499,0.232073011734029,0.21903520208605,0.44,0.626,0.378,0.264,0.332,0.021,0.102,0.014,0.017,0.014,0.186440677966102,0.232073011734029,0.159061277705346,0.235984354628422,0.186440677966102
"29","CTEEG005",-0.021605290389268,8.18479178195742,"experiment",0.169124296279866,-0.000158443942896284,0.124,0.193,0.021,0.029,0.628672150411281,0.371327849588719,0.135,0.098,0.194,0.011,0.014,0.029,0.435957696827262,0.195064629847239,0.368977673325499,0.126,0.196,0.148,0.095,0.006,0.028,0.006,0.013,0.267920094007051,0.349001175088132,0.212690951821387,0.170387779083431,0.218,0.126,0.147,0.172,0.095,0.023,0.006,0.005,0.008,0.013,0.17978848413631,0.27144535840188,0.192714453584019,0.18566392479436,0.170387779083431
"30","CTEEG006",0.00461860557909858,-2.41795702898112,"experiment",0.21073813604779,-0.000178139107401064,0.279,0.13,0.049,0.044,0.332339791356185,0.667660208643815,0.089,0.168,0.284,0.023,0.021,0.046,0.317436661698957,0.371087928464978,0.311475409836066,0.285,0.149,0.187,0.088,0.045,0.011,0.012,0.022,0.305514157973174,0.18628912071535,0.198211624441133,0.309985096870343,0.149,0.186,0.088,0.337,0.254,0.011,0.011,0.022,0.022,0.024,0.18628912071535,0.189269746646796,0.309985096870343,0.110283159463487,0.204172876304024
"31","CTEEG008",-0.0194063304748416,7.88482843106207,"experiment",0.229128631252109,-0.000286558808892254,0.135,0.247,0.043,0.035,0.614349775784753,0.385650224215247,0.157,0.247,0.074,0.021,0.035,0.028,0.452914798206278,0.385650224215247,0.161434977578475,0.063,0.261,0.184,0.136,0.021,0.029,0.018,0.014,0.12780269058296,0.290358744394619,0.316143497757848,0.265695067264574,0.207,0.26,0.301,0.073,0.151,0.016,0.012,0.014,0.027,0.017,0.236547085201794,0.145739910313901,0.0695067264573991,0.158071748878924,0.390134529147982
"32","CTEEG009",0.0100521909884137,1.10063145969488,"experiment",0.267592671237321,-0.000291916682743845,0.169,0.272,0.028,0.097,0.504267668146125,0.495732331853875,0.191,0.3,0.127,0.017,0.074,0.03,0.340901331512462,0.411232502560601,0.247866165926938,0.354,0.126,0.242,0.185,0.072,0.03,0.019,0.014,0.201263229771253,0.241208603618983,0.268521679754182,0.289006486855582,0.125,0.175,0.204,0.248,0.355,0.03,0.009,0.009,0.016,0.072,0.230112666439058,0.192045066575623,0.154831000341413,0.224479344486173,0.198531922157733
