"","Subject","MM_Intercept","MM_Hess","features_class","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"25","CTEEG065",-1.46828357405733e-07,1.36736954340481e-07,"control",5.09921454324972e-07,-5.04588467523762e-10,0.509,0.353,0.052,0.049,0.538628944504897,0.461371055495103,0.538,0.338,0.439,0.038,0.043,0.022,0.356909684439608,0.369967355821545,0.273122959738847,0.538,0.44,0.301,0.373,0.038,0.021,0.032,0.016,0.356909684439608,0.263329706202394,0.176278563656148,0.20348204570185,0.41,0.369,0.301,0.541,0.454,0.011,0.013,0.032,0.036,0.017,0.110990206746464,0.177366702937976,0.173014145810664,0.339499455930359,0.199129488574538
"26","CTEEG002",-2.66391729457251e-08,-6.13050337666089e-08,"experiment",6.90384372624999e-07,-6.53024370100846e-10,0.476,0.953,0.078,0.214,0.713197969543147,0.286802030456853,0.537,0.406,0.952,0.041,0.042,0.214,0.376903553299492,0.336294416243655,0.286802030456853,0.497,0.405,0.959,0.563,0.016,0.041,0.211,0.035,0.148477157360406,0.32994923857868,0.281725888324873,0.239847715736041,1.022,0.407,0.524,0.732,1.257,0.052,0.042,0.027,0.106,0.073,0.0621827411167513,0.338832487309645,0.313451776649746,0.213197969543147,0.0723350253807107
"27","CTEEG003",9.03576684957437e-08,2.07941136283423e-07,"experiment",8.76721643219287e-07,-7.45675282101491e-10,0.616,1.002,0.106,0.228,0.633928571428571,0.366071428571429,0.555,1.116,0.779,0.07,0.229,0.052,0.427083333333333,0.220238095238095,0.352678571428571,0.749,0.556,1.394,0.903,0.031,0.07,0.132,0.07,0.229166666666667,0.430059523809524,0.0818452380952381,0.258928571428571,1.394,0.556,0.956,0.746,0.835,0.132,0.07,0.047,0.028,0.024,0.0818452380952381,0.431547619047619,0.139880952380952,0.214285714285714,0.132440476190476
"28","CTEEG004",2.50947791455557e-07,5.77509023219388e-07,"experiment",1.21204987483867e-06,-1.01364492560697e-09,1.381,0.863,0.259,0.121,0.366362451108214,0.633637548891786,0.729,0.953,1.407,0.037,0.079,0.254,0.235984354628422,0.426336375488918,0.33767926988266,0.729,0.915,1.523,1.103,0.037,0.053,0.224,0.055,0.235984354628422,0.312907431551499,0.232073011734029,0.21903520208605,1.115,1.522,0.979,0.729,0.879,0.047,0.224,0.031,0.037,0.031,0.186440677966102,0.232073011734029,0.159061277705346,0.235984354628422,0.186440677966102
"29","CTEEG005",-5.02881402279376e-08,-1.15728672398345e-07,"experiment",5.21629256794002e-07,-3.46855619716694e-10,0.422,0.575,0.047,0.064,0.628672150411281,0.371327849588719,0.448,0.365,0.576,0.025,0.031,0.063,0.435957696827262,0.195064629847239,0.368977673325499,0.426,0.581,0.475,0.36,0.013,0.062,0.013,0.029,0.267920094007051,0.349001175088132,0.212690951821387,0.170387779083431,0.628,0.427,0.473,0.528,0.36,0.05,0.013,0.011,0.018,0.029,0.17978848413631,0.27144535840188,0.192714453584019,0.18566392479436,0.170387779083431
"30","CTEEG006",9.6684327908933e-09,2.22500749093706e-08,"experiment",6.12727685157035e-07,-3.89971048207335e-10,0.761,0.435,0.106,0.096,0.332339791356185,0.667660208643815,0.347,0.52,0.773,0.05,0.046,0.101,0.317436661698957,0.371087928464978,0.311475409836066,0.775,0.477,0.56,0.344,0.099,0.024,0.026,0.049,0.305514157973174,0.18628912071535,0.198211624441133,0.309985096870343,0.477,0.558,0.344,0.89,0.707,0.024,0.024,0.049,0.047,0.053,0.18628912071535,0.189269746646796,0.309985096870343,0.110283159463487,0.204172876304024
"31","CTEEG008",-4.82212228272922e-08,-1.10972051663478e-07,"experiment",6.52987012805591e-07,-6.27316711681791e-10,0.447,0.693,0.095,0.076,0.614349775784753,0.385650224215247,0.495,0.693,0.312,0.046,0.076,0.061,0.452914798206278,0.385650224215247,0.161434977578475,0.289,0.722,0.555,0.449,0.046,0.064,0.039,0.03,0.12780269058296,0.290358744394619,0.316143497757848,0.265695067264574,0.606,0.72,0.811,0.31,0.482,0.034,0.025,0.031,0.06,0.038,0.236547085201794,0.145739910313901,0.0695067264573991,0.158071748878924,0.390134529147982
"32","CTEEG009",2.00582181280639e-08,4.61602075718809e-08,"experiment",7.37190095498447e-07,-6.39045835693648e-10,0.522,0.746,0.06,0.212,0.504267668146125,0.495732331853875,0.569,0.808,0.43,0.037,0.162,0.067,0.340901331512462,0.411232502560601,0.247866165926938,0.927,0.428,0.681,0.557,0.158,0.066,0.042,0.03,0.201263229771253,0.241208603618983,0.268521679754182,0.289006486855582,0.425,0.535,0.599,0.694,0.929,0.065,0.019,0.02,0.035,0.158,0.230112666439058,0.192045066575623,0.154831000341413,0.224479344486173,0.198531922157733
"33","CTEEG011",-2.97889157757829e-08,-6.85535729603338e-08,"experiment",5.43726777869201e-07,-3.44695813312392e-10,0.719,0.333,0.165,0.066,0.311806256306761,0.688193743693239,0.402,0.287,0.718,0.026,0.038,0.165,0.27547931382442,0.412714429868819,0.311806256306761,0.287,0.567,0.857,0.401,0.038,0.066,0.093,0.025,0.412714429868819,0.15438950554995,0.160443995963673,0.272452068617558,0.948,0.766,0.401,0.287,0.558,0.017,0.056,0.025,0.038,0.06,0.0756811301715439,0.0968718466195762,0.271442986881937,0.412714429868819,0.143289606458123
"34","CTEEG012",-5.15116948884572e-08,-1.18544452773888e-07,"experiment",5.71297797893709e-07,-4.53143993250117e-10,0.443,0.643,0.069,0.18,0.584761904761905,0.415238095238095,0.377,0.519,0.701,0.069,0.023,0.117,0.39047619047619,0.255238095238095,0.354285714285714,0.701,0.431,0.326,0.518,0.117,0.017,0.059,0.024,0.354285714285714,0.184761904761905,0.200952380952381,0.26,0.693,0.531,0.427,0.489,0.327,0.118,0.008,0.013,0.017,0.059,0.366666666666667,0.134285714285714,0.160952380952381,0.134285714285714,0.203809523809524
