"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","features_class","features_trials","features_scale"
"1","CTEEG030",0.348,0.216,0.065,0.037,0.515900383141762,0.484099616858238,0.203,0.286,0.393,0.031,0.023,0.059,0.374329501915709,0.356130268199234,0.269540229885057,0.194,0.304,0.4,0.255,0.028,0.016,0.058,0.014,0.306513409961686,0.249233716475096,0.242337164750958,0.201915708812261,0.217,0.4,0.305,0.172,0.258,0.011,0.058,0.016,0.024,0.012,0.180842911877395,0.240996168582375,0.243103448275862,0.144827586206897,0.190229885057471,"control",1,"ZscoredScaled"
"2","CTEEG031",0.209,0.364,0.048,0.092,0.530876109610189,0.469123890389811,0.244,0.369,0.159,0.023,0.093,0.032,0.347549208799691,0.443072172906214,0.209378618294095,0.234,0.156,0.309,0.435,0.018,0.031,0.025,0.107,0.287919722115013,0.195870320339637,0.326321883442686,0.189888074102663,0.451,0.212,0.324,0.142,0.26,0.112,0.016,0.023,0.026,0.015,0.156503280586646,0.214781937475878,0.282709378618294,0.138556541875724,0.207448861443458,"control",1,"ZscoredScaled"
"3","CTEEG032",0.269,0.147,0.064,0.032,0.40495867768595,0.59504132231405,0.294,0.127,0.191,0.062,0.024,0.02,0.277532192965597,0.366327118969825,0.356140688064578,0.16,0.306,0.21,0.11,0.013,0.061,0.017,0.018,0.30367095906208,0.231597155487219,0.254660772631174,0.210071112819527,0.226,0.106,0.322,0.179,0.148,0.018,0.016,0.06,0.01,0.009,0.229290793772823,0.181818181818182,0.179896213722852,0.210455506438593,0.198539304247549,"control",1,"ZscoredScaled"
"4","CTEEG033",0.264,0.155,0.045,0.034,0.440677966101695,0.559322033898305,0.142,0.21,0.289,0.029,0.018,0.039,0.416217257318952,0.314522342064715,0.269260400616333,0.292,0.215,0.164,0.115,0.038,0.017,0.012,0.023,0.2557781201849,0.288713405238829,0.281587057010786,0.173921417565485,0.192,0.301,0.232,0.158,0.113,0.011,0.036,0.014,0.009,0.022,0.190485362095532,0.208397534668721,0.214175654853621,0.224576271186441,0.162365177195686,"control",1,"ZscoredScaled"
"5","CTEEG034",0.275,0.459,0.053,0.082,0.627564847077042,0.372435152922958,0.222,0.462,0.312,0.036,0.082,0.026,0.245451025938831,0.363917924893535,0.390631049167635,0.496,0.295,0.22,0.362,0.075,0.016,0.035,0.024,0.252226093689508,0.276229190863337,0.233255903987611,0.238288811459543,0.363,0.496,0.191,0.297,0.25,0.024,0.075,0.028,0.015,0.014,0.237708091366628,0.252226093689508,0.111691831204026,0.255516840882695,0.142857142857143,"control",1,"ZscoredScaled"
"6","CTEEG035",0.15,0.293,0.039,0.07,0.574418604651163,0.425581395348837,0.337,0.128,0.213,0.062,0.028,0.025,0.244573643410853,0.378294573643411,0.377131782945736,0.157,0.106,0.338,0.219,0.015,0.021,0.062,0.022,0.23953488372093,0.197286821705426,0.24031007751938,0.322868217054264,0.347,0.242,0.193,0.149,0.104,0.06,0.016,0.014,0.01,0.02,0.213372093023256,0.193798449612403,0.222480620155039,0.186240310077519,0.184108527131783,"control",1,"ZscoredScaled"
"7","CTEEG036",0.361,0.574,0.067,0.088,0.655864197530864,0.344135802469136,0.306,0.593,0.427,0.045,0.082,0.031,0.337384259259259,0.291473765432099,0.371141975308642,0.442,0.29,0.594,0.376,0.022,0.038,0.082,0.018,0.270061728395062,0.258873456790123,0.288966049382716,0.182098765432099,0.483,0.289,0.427,0.375,0.621,0.025,0.038,0.012,0.018,0.075,0.173996913580247,0.256751543209877,0.171489197530864,0.178240740740741,0.219521604938272,"control",1,"ZscoredScaled"
"8","CTEEG037",0.145,0.283,0.033,0.068,0.482135996926623,0.517864003073377,0.223,0.337,0.137,0.022,0.059,0.029,0.338647714175951,0.248559354590857,0.412792931233192,0.116,0.17,0.339,0.232,0.02,0.017,0.058,0.018,0.22915866308106,0.247791010372647,0.244717633499808,0.278332693046485,0.146,0.188,0.24,0.347,0.104,0.011,0.014,0.018,0.056,0.015,0.1890126776796,0.190741452170572,0.257011140991164,0.219170188244333,0.14406454091433,"control",1,"ZscoredScaled"
"9","CTEEG038",0.175,0.316,0.043,0.082,0.6,0.4,0.228,0.34,0.148,0.021,0.085,0.032,0.350338164251208,0.29256038647343,0.357101449275362,0.222,0.148,0.439,0.295,0.018,0.032,0.108,0.025,0.304734299516908,0.351884057971015,0.08,0.263381642512077,0.439,0.17,0.222,0.114,0.295,0.108,0.011,0.018,0.023,0.025,0.08,0.213719806763285,0.303768115942029,0.138743961352657,0.263768115942029,"control",1,"ZscoredScaled"
"10","CTEEG041",0.275,0.475,0.06,0.098,0.568230071414785,0.431769928585215,0.232,0.49,0.337,0.044,0.096,0.027,0.316927234124686,0.377533294730747,0.305539471144567,0.23,0.33,0.574,0.423,0.044,0.023,0.097,0.031,0.309978768577495,0.275815479637136,0.156340474811812,0.257865276973557,0.574,0.272,0.424,0.2,0.337,0.097,0.018,0.031,0.037,0.02,0.15537541015248,0.18355529820498,0.251302837290098,0.16348195329087,0.246284501061571,"control",1,"ZscoredScaled"
"11","CTEEG042",0.129,0.304,0.045,0.092,0.703982985305491,0.296017014694509,0.32,0.176,0.095,0.091,0.023,0.028,0.252513534416087,0.356535189481825,0.390951276102088,0.195,0.082,0.333,0.14,0.019,0.022,0.089,0.015,0.25831399845321,0.273781902552204,0.222931167826759,0.244972931167827,0.147,0.333,0.11,0.068,0.197,0.012,0.089,0.01,0.018,0.018,0.203402938901779,0.221771075019335,0.162026295436968,0.169760247486466,0.243039443155452,"control",1,"ZscoredScaled"
"12","CTEEG043",0.123,0.248,0.034,0.054,0.549402617106012,0.450597382893988,0.164,0.266,0.097,0.021,0.049,0.024,0.365067324103926,0.345344206334155,0.289588469561919,0.141,0.09,0.189,0.278,0.012,0.021,0.017,0.046,0.243883937037739,0.231177697705291,0.238763512232126,0.286174853024844,0.3,0.227,0.179,0.139,0.089,0.042,0.015,0.012,0.011,0.021,0.186611037360137,0.160250331879386,0.197231177697705,0.228901953347241,0.227005499715532,"control",1,"ZscoredScaled"
"13","CTEEG046",0.227,0.388,0.048,0.078,0.583269230769231,0.416730769230769,0.187,0.4,0.271,0.035,0.077,0.024,0.2775,0.363269230769231,0.359230769230769,0.185,0.261,0.475,0.339,0.034,0.019,0.068,0.026,0.265961538461538,0.300769230769231,0.144423076923077,0.288846153846154,0.478,0.351,0.174,0.286,0.237,0.067,0.02,0.032,0.016,0.014,0.141153846153846,0.222115384615385,0.200961538461538,0.222692307692308,0.213076923076923,"control",1,"ZscoredScaled"
