"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials","performance_scale"
"2008","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2009","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2010","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2011","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2012","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2013","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2014","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2015","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2016","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2017","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2018","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2019","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2020","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2021","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2022","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2023","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2024","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2025","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2026","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2027","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2028","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2029","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2030","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2031","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2032","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2033","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2034","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2035","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2036","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2037","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2038","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2039","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2040","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2041","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2042","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2043","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2044","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2045","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2046","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2047","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2048","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2049","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2050","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2051","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2052","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2053","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2054","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2055","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2056","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2057","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2058","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2059","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2060","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2061","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2062","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2063","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2064","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2065","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2066","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2067","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2068","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2069","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2070","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2071","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2072","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2073","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2074","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2075","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2076","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2077","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2078","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2079","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2080","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2081","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2082","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2083","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2084","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2085","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2086","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2087","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2088","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2089","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2090","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2091","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2092","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2093","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2094","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2095","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2096","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2097","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2098","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2099","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2100","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2101","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2102","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2103","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2104","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2105","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2106","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2107","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2108","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2109","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2110","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2111","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2112","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2113","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2114","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2115","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2116","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2117","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2118","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2119","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2120","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2121","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2122","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2123","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2124","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2125","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2126","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2127","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2128","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2129","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2130","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2131","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2132","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2133","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2134","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2135","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2136","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2137","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2138","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2139","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2140","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2141","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2142","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2143","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2144","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2145","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2146","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2147","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2148","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2149","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2150","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2151","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2152","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2153","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2154","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2155","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2156","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2157","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2158","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2159","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2160","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2161","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2162","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2163","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2164","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2165","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2166","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2167","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2168","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2169","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2170","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2171","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2172","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2173","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2174","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2175","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2176","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2177","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2178","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2179","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2180","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2181","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2182","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2183","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2184","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2185","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2186","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2187","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2188","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2189","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2190","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2191","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2192","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2193","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2194","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2195","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2196","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2197","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2198","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2199","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2200","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2201","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2202","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2203","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
"2204","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control",12,"ZscoredScaled"
"2205","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control",12,"ZscoredScaled"
"2206","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control",12,"ZscoredScaled"
"2207","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control",12,"ZscoredScaled"
"2208","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control",12,"ZscoredScaled"
"2209","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control",12,"ZscoredScaled"
"2210","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control",12,"ZscoredScaled"
"2211","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control",12,"ZscoredScaled"
"2212","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control",12,"ZscoredScaled"
"2213","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control",12,"ZscoredScaled"
"2214","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control",12,"ZscoredScaled"
"2215","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control",12,"ZscoredScaled"
"2216","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control",12,"ZscoredScaled"
"2217","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control",12,"ZscoredScaled"
"2218","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control",12,"ZscoredScaled"
"2219","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control",12,"ZscoredScaled"
"2220","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control",12,"ZscoredScaled"
"2221","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control",12,"ZscoredScaled"
"2222","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control",12,"ZscoredScaled"
"2223","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control",12,"ZscoredScaled"
"2224","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control",12,"ZscoredScaled"
"2225","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control",12,"ZscoredScaled"
"2226","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control",12,"ZscoredScaled"
"2227","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control",12,"ZscoredScaled"
"2228","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control",12,"ZscoredScaled"
