"","Subject","Class","dis_sum","angle_sum","average_speed","idle_time"
"1","CTEEG028","control",0.683577872012815,0.10915963808905,0.812528488239433,-0.665551225692145
"2","CTEEG029","control",0.434895658196725,-0.0320819147260709,0.0669744525981276,-0.380730177142668
"3","CTEEG030","control",-0.0289336701553405,-0.094610906944932,0.049350058591437,-0.523140701417406
"4","CTEEG031","control",0.702254084219493,-0.0370364130966055,0.819298080383767,-0.665551225692145
"5","CTEEG032","control",-0.607235684775717,-0.624664967317313,-1.33864419881461,0.616143492780501
"6","CTEEG033","control",-0.0052794289409736,3.19632476514014,0.130690822043403,-0.238319652867929
"7","CTEEG034","control",0.744721487902225,-0.773085243922232,0.860735800171708,-0.665551225692145
"8","CTEEG035","control",0.0925510817321127,-0.286097464013634,-0.569844968806674,0.0465013956815473
"9","CTEEG036","control",0.673316574564411,-0.0237063898701607,0.805776031578907,-0.665551225692145
"10","CTEEG037","control",0.431922338549166,-0.514590863346374,0.104823774303742,-0.380730177142668
"11","CTEEG038","control",0.317357297163016,-0.277108086654305,-0.14918581664481,-0.238319652867929
"12","CTEEG041","control",0.427339029993999,1.22741519023002,0.034467168025776,-0.380730177142668
"13","CTEEG042","control",-0.387210898067779,-0.391120969136808,-1.12782345027386,0.473732968505762
"14","CTEEG043","control",0.196985098108459,1.15285942296273,-0.353295143598548,-0.238319652867929
"15","CTEEG044","control",0.376188562478206,-0.666134605181409,-0.0822754243364073,-0.238319652867929
"16","CTEEG045","control",0.695845367874727,-0.384299328751524,0.795255952797571,-0.665551225692145
"17","CTEEG046","control",-0.0191850076624414,0.476497853785324,-0.686695465369711,0.0465013956815473
"18","CTEEG047","control",0.677086894585463,-0.352852284523125,0.773437464725493,-0.665551225692145
"19","CTEEG048","control",0.430634979455808,1.72841272034309,0.173406003245878,-0.665551225692145
"20","CTEEG050","control",0.794133592352879,-0.324139611681199,1.46919947676732,-0.665551225692145
"21","CTEEG051","control",-0.697803922690422,1.4797019766583,-0.291274846832301,0.331322444231024
"22","CTEEG052","control",0.472794588935267,0.832700406087447,0.255157962642122,-0.665551225692145
"23","CTEEG002","experiment",-1.17401025864198,-0.821079255130785,0.168758511458958,-0.238319652867929
"24","CTEEG003","experiment",-1.21360904640374,-0.810879670745014,-0.613465519807302,0.0465013956815473
"25","CTEEG004","experiment",-0.218581141863221,0.103462444108247,0.0496442183666129,-0.238319652867929
"26","CTEEG005","experiment",-0.925394690554339,-0.778495757601613,-1.24489348524601,0.616143492780501
"27","CTEEG006","experiment",-1.0572441444492,-0.468897334567403,-0.282787510050936,-0.0959091285931911
"28","CTEEG007","experiment",-1.07552236232767,-0.818735176791233,0.53649184247407,-0.380730177142668
"29","CTEEG008","experiment",-0.603380597712849,-0.521113809200316,-0.926014920137366,0.0465013956815473
"30","CTEEG009","experiment",-1.11515901984265,-0.828732130512365,-0.078562887863713,-0.0959091285931911
"31","CTEEG010","experiment",-0.517379942609007,-0.311231791784254,0.106669256252592,-0.238319652867929
"32","CTEEG011","experiment",-0.524960017517237,-0.201635514237776,-0.784551433896122,0.331322444231024
"33","CTEEG012","experiment",-1.15436396228008,-0.594510471358423,-1.99527673005363,1.75542768697841
"34","CTEEG013","experiment",-1.0766364984437,-0.821378945188343,2.06965723611467,-0.665551225692145
"35","CTEEG014","experiment",-0.773764731826894,-0.81924696568659,1.7901544800779,-0.665551225692145
"36","CTEEG015","experiment",0.12212061623358,-0.457700275498708,1.15285939724945,-0.665551225692145
"37","CTEEG016","experiment",-0.0382955679296282,-0.436885818981906,0.130980144866207,-0.380730177142668
"38","CTEEG017","experiment",-0.301666358351579,-0.423916039359033,0.300391400189562,-0.380730177142668
"39","CTEEG018","experiment",-1.0938324196743,-0.818007928600423,1.98815741052572,-0.665551225692145
"40","CTEEG019","experiment",0.257218989163878,-0.437569239036814,1.06162460367507,-0.665551225692145
"41","CTEEG020","experiment",-0.0856824823203028,-0.358278114163443,-0.307006770782682,-0.0959091285931911
"42","CTEEG021","experiment",-0.663527541701493,-0.655985688172152,0.25273955409495,-0.238319652867929
"43","CTEEG022","experiment",2.27541683235656,3.61553857809385,-1.94781806124132,4.17640659964896
"44","CTEEG023","experiment",-0.0935962675537533,-0.312773789905153,-0.0762674746522231,-0.380730177142668
"45","CTEEG024","experiment",1.51377447939582,1.36070565484495,-1.47650774406653,2.4674803083521
"46","CTEEG049","experiment",0.00549956046345318,1.00607760183841,-1.75915358238268,1.32819611415419
"47","CTEEG057","experiment",4.4988025732508,1.39845785225455,-1.99371813291516,3.17953292972579
"48","CTEEG058","experiment",-0.213153642716054,-0.394138618196824,-0.278231920491175,-0.238319652867929
"49","CTEEG060","experiment",-1.15902825197651,-0.814592720551846,1.60406589680335,-0.523140701417406
