"","Subject","Class","dis_sum","angle_sum","average_speed","idle_time"
"1","CTEEG028","control",0.332116633872978,0.211033897369306,0.690738211656552,0
"2","CTEEG029","control",0.288582968868787,0.179253305664662,0.50732710538855,0.0588235294117647
"3","CTEEG030","control",0.207386206584329,0.165183732427871,0.502991390675008,0.0294117647058824
"4","CTEEG031","control",0.3353860432661,0.178138499952908,0.692403575030392,0
"5","CTEEG032","control",0.106150151985142,0.0459169066366459,0.161535842083549,0.264705882352941
"6","CTEEG033","control",0.211527056857265,0.905673204797827,0.52300174364235,0.0882352941176471
"7","CTEEG034","control",0.342820277090676,0.0125210389372488,0.702597521631448,0
"8","CTEEG035","control",0.228653012965974,0.122097572825151,0.350665416243059,0.147058823529412
"9","CTEEG036","control",0.330320317687867,0.181137872426019,0.68907706372236,0
"10","CTEEG037","control",0.28806246722333,0.0706845482111755,0.516638282893677,0.0588235294117647
"11","CTEEG038","control",0.268007007460597,0.124120261799052,0.45415028356512,0.0882352941176471
"12","CTEEG041","control",0.287260125084784,0.462651232464466,0.499330103507854,0.0588235294117647
"13","CTEEG042","control",0.144667121937186,0.0984663604150247,0.213399107340838,0.235294117647059
"14","CTEEG043","control",0.246934961699679,0.445875529057624,0.403938071349005,0.0882352941176471
"15","CTEEG044","control",0.278305856568874,0.0365858733618747,0.470610672064733,0.0882352941176471
"16","CTEEG045","control",0.334264149962278,0.100001289502957,0.686489056421653,0
"17","CTEEG046","control",0.209092782220328,0.293688226905293,0.32191943966987,0.147058823529412
"18","CTEEG047","control",0.33098034015685,0.107077151053763,0.681121567489811,0
"19","CTEEG048","control",0.287837105470874,0.575380083374223,0.533509953999022,0
"20","CTEEG050","control",0.351470232265587,0.113537754991845,0.852283514481454,0
"21","CTEEG051","control",0.0902955105578529,0.519417978454921,0.419195464773457,0.205882352941176
"22","CTEEG052","control",0.295217457638494,0.373836934231412,0.55362146382345,0
"23","CTEEG002","experiment",0.00693206134262274,0.00172196427340957,0.532366641013965,0.0882352941176471
"24","CTEEG003","experiment",0,0.00401696047290276,0.339934479070728,0.147058823529412
"25","CTEEG004","experiment",0.174187010809402,0.209751978612698,0.503063755878877,0.0882352941176471
"26","CTEEG005","experiment",0.0504540595180062,0.0113036257700214,0.184599122901607,0.264705882352941
"27","CTEEG006","experiment",0.0273728352166597,0.0809659940939582,0.421283404418234,0.117647058823529
"28","CTEEG007","experiment",0.0241730976810139,0.00224940251766704,0.622831414630385,0.0588235294117647
"29","CTEEG008","experiment",0.106825013553171,0.069216828020029,0.26304530868534,0.147058823529412
"30","CTEEG009","experiment",0.0172344069573624,0,0.471523980006164,0.117647058823529
"31","CTEEG010","experiment",0.12188006575003,0.116442128002236,0.517092283368029,0.0882352941176471
"32","CTEEG011","experiment",0.120553117446419,0.141102254428434,0.297846239627545,0.205882352941176
"33","CTEEG012","experiment",0.0103712911583285,0.0527019334579187,0,0.5
"34","CTEEG013","experiment",0.0239780598948364,0.00165453137446891,1,0
"35","CTEEG014","experiment",0.0769980078227354,0.00213424551465945,0.931240517468915,0
"36","CTEEG015","experiment",0.233829379178753,0.0834854308706181,0.774461812542206,0
"37","CTEEG016","experiment",0.205747336979401,0.0881688666650433,0.523072918924707,0.0588235294117647
"38","CTEEG017","experiment",0.159642327754265,0.0910871811587482,0.564749181499532,0.0588235294117647
"39","CTEEG018","experiment",0.0209677864104419,0.0024130397572711,0.979950516720012,0
"40","CTEEG019","experiment",0.257479350841417,0.0880150911415172,0.752017464286193,0
"41","CTEEG020","experiment",0.197451906337178,0.105856291660609,0.41532530991207,0.117647058823529
"42","CTEEG021","experiment",0.0962958451400099,0.0388694689559963,0.55302651970694,0.0882352941176471
"43","CTEEG022","experiment",0.610779844147732,1,0.01167513893394,1
"44","CTEEG023","experiment",0.19606653956735,0.116095164862049,0.472088666476005,0.0588235294117647
"45","CTEEG024","experiment",0.477448704224242,0.492642759388514,0.12762051986692,0.647058823529412
"46","CTEEG049","experiment",0.213413998856917,0.412848328252759,0.05808781880251,0.411764705882353
"47","CTEEG057","experiment",1,0.501137335863456,0.00038342495879147,0.794117647058823
"48","CTEEG058","experiment",0.175137134769043,0.097787362834123,0.422404108862064,0.0882352941176471
"49","CTEEG060","experiment",0.00955477267069326,0.00318149160741689,0.885461524544717,0.0294117647058824
