"","Subject","Class","dis_sum","angle_sum","average_speed","idle_time"
"1","CTEEG028","control",0.750086525210559,276.780541796555,0.00991752149209107,0.5
"2","CTEEG029","control",0.70126471369249,241.570413114579,0.00779574824542042,1
"3","CTEEG030","control",0.610204771375492,225.982550913274,0.00774559095848412,0.75
"4","CTEEG031","control",0.753753078190902,240.335305444745,0.00993678708360565,0.5
"5","CTEEG032","control",0.496671312246826,93.8452917134628,0.00379549620866036,2.75
"6","CTEEG033","control",0.614848621405815,1046.38041675871,0.00797707874810851,1.25
"7","CTEEG034","control",0.762090367562925,56.8455778607403,0.0100547147468547,0.5
"8","CTEEG035","control",0.634054911552202,178.246837301552,0.0059834229856762,1.75
"9","CTEEG036","control",0.748072005867702,243.658349009348,0.00989830466647321,0.5
"10","CTEEG037","control",0.700680985370354,121.285682222644,0.00790346368167385,1
"11","CTEEG038","control",0.678189337209095,180.48780058243,0.00718057744042535,1.25
"12","CTEEG041","control",0.699781180663874,555.550642418124,0.00770323571992897,1
"13","CTEEG042","control",0.53986703783218,152.065511365129,0.00439547126440809,2.5
"14","CTEEG043","control",0.654557615727787,536.964623593331,0.0065997024285238,1.25
"15","CTEEG044","control",0.689739214068049,83.5073192366165,0.00737099781713499,1.25
"16","CTEEG045","control",0.752494905615326,153.766079158393,0.0098683655599242,0.5
"17","CTEEG046","control",0.612118649153392,368.354342754431,0.00565087799816987,1.75
"18","CTEEG047","control",0.748812202967471,161.605517708032,0.00980627229496814,0.5
"19","CTEEG048","control",0.700428248344864,680.444394667673,0.00809864194053914,0.5
"20","CTEEG050","control",0.771791055091729,168.763304389201,0.0117863423537805,0.5
"21","CTEEG051","control",0.478890766653544,618.443254668919,0.00677620607566187,2.25
"22","CTEEG052","control",0.708705110916161,457.152132451794,0.00833129995326206,0.5
"23","CTEEG002","experiment",0.385400944358771,44.8811433374998,0.00808541563732542,1.25
"24","CTEEG003","experiment",0.377626827654638,47.4237993163371,0.00585928320010243,1.75
"25","CTEEG004","experiment",0.572972783705285,275.360287422455,0.00774642810818941,1.25
"26","CTEEG005","experiment",0.43420967184826,55.4967900635972,0.00406230149224391,2.75
"27","CTEEG006","experiment",0.408324711729738,132.676629123002,0.00680036019898131,1.5
"28","CTEEG007","experiment",0.404736293827006,45.4654989915636,0.00913194842550327,1
"29","CTEEG008","experiment",0.497428150989255,119.659576035582,0.00496979843551009,1.75
"30","CTEEG009","experiment",0.39695474245384,42.973356842648,0.00738156332974505,1.5
"31","CTEEG010","experiment",0.514311979187018,171.981096820088,0.00790871574126858,1.25
"32","CTEEG011","experiment",0.512823843052215,199.302369905553,0.00537238956390395,2.25
"33","CTEEG012","experiment",0.389257946286211,101.362510703843,0.00192678479262174,4.75
"34","CTEEG013","experiment",0.404517564298152,44.8064335564118,0.0134951859098926,0.5
"35","CTEEG014","experiment",0.463977981981443,45.3379150581928,0.012699748635357,0.5
"36","CTEEG015","experiment",0.639860064313048,135.467945720777,0.0108860696901186,0.5
"37","CTEEG016","experiment",0.608366824054797,140.656784825097,0.00797790213232445,1
"38","CTEEG017","experiment",0.556661320504574,143.890023205703,0.00846002985485873,1
"39","CTEEG018","experiment",0.401141625133397,45.6467948062283,0.0132632454451157,0.5
"40","CTEEG019","experiment",0.666382859001045,140.486414933252,0.0106264244666773,0.5
"41","CTEEG020","experiment",0.599063726067599,160.252911792604,0.0067314345718394,1.5
"42","CTEEG021","experiment",0.485619977345711,86.0373443372778,0.00832441740107991,1.25
"43","CTEEG022","experiment",1.06259967400573,1150.88629343003,0.00206184748290942,9
"44","CTEEG023","experiment",0.597510075224891,171.596691868556,0.00738809584933366,1
"45","CTEEG024","experiment",0.913072456800212,588.778643085286,0.0034031501572369,6
"46","CTEEG049","experiment",0.616964775114529,500.373360562351,0.00259876798055652,4
"47","CTEEG057","experiment",1.49909940556343,598.189894252704,0.00193122040634341,7.25
"48","CTEEG058","experiment",0.574038321671637,151.313241161337,0.00681332495752144,1.25
"49","CTEEG060","experiment",0.388342243192973,46.4981725521494,0.0121701588824652,0.75
