"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"12","C43",-1.125,-0.279,0.203,0.388,0.474916387959866,0.525083612040134,-0.266,-1.289,-0.953,0.385,0.141,0.1,0.511705685618729,0.235228539576366,0.253065774804905,0.106,-1.29,-0.546,-0.959,0.303,0.14,0.111,0.094,0.21850613154961,0.235228539576366,0.302118171683389,0.244147157190635,0.804,-0.539,-0.96,-1.29,0.032,0.136,0.118,0.094,0.14,0.157,0.0256410256410256,0.313266443701226,0.243032329988852,0.235228539576366,0.182831661092531,"control"
"13","C46",-0.104,0.739,0.206,0.594,0.603121516164994,0.396878483835006,-0.056,-0.057,1.04,0.372,0.071,0.39,0.450390189520624,0.284280936454849,0.265328874024526,1.031,-0.029,0.234,-0.36,0.392,0.049,0.109,0.222,0.269788182831661,0.222965440356745,0.241917502787068,0.265328874024526,-0.369,0.935,0.696,0.237,-0.059,0.103,0.254,1.426,0.112,0.07,0.17056856187291,0.237458193979933,0.0490523968784838,0.246376811594203,0.29654403567447,"control"
"14","C47",-0.385,-1.035,0.192,0.19,0.455964325529543,0.544035674470457,-1.148,-0.825,-0.381,0.133,0.064,0.19,0.351170568561873,0.197324414715719,0.451505016722408,-1.148,-0.825,-0.509,-0.166,0.132,0.064,0.081,0.106,0.351170568561873,0.199554069119286,0.278706800445931,0.17056856187291,-0.596,-1.035,-0.476,-0.362,-0.129,0.05,0.19,0.026,0.052,0.084,0.12263099219621,0.544035674470457,0.114827201783724,0.0824972129319955,0.136008918617614,"control"
"15","C48",-0.343,-0.93,0.248,0.178,0.334448160535117,0.665551839464883,-0.803,-1.123,-0.335,0.079,0.098,0.245,0.404682274247492,0.260869565217391,0.334448160535117,-0.333,-1.166,-0.955,-0.785,0.244,0.069,0.042,0.069,0.32329988851728,0.199554069119286,0.11371237458194,0.363433667781494,-0.721,-1.165,-0.962,-0.306,-0.85,0.057,0.069,0.037,0.238,0.027,0.230769230769231,0.199554069119286,0.103678929765886,0.295429208472687,0.17056856187291,"control"
"16","C51",-0.454,0.916,0.227,0.71,0.670011148272018,0.329988851727982,1.003,-0.158,-0.588,0.688,0.141,0.13,0.299888517279822,0.250836120401338,0.449275362318841,-0.079,-0.637,1.018,-0.379,0.112,0.104,0.684,0.066,0.181716833890747,0.338907469342252,0.294314381270903,0.185061315496098,1.018,-0.376,-0.581,-0.752,-0.079,0.684,0.065,0.053,0.089,0.112,0.294314381270903,0.185061315496098,0.229654403567447,0.109253065774805,0.181716833890747,"control"
"17","C52",2.962,-0.035,1.912,0.584,0.284280936454849,0.71571906354515,0.413,-0.605,3.03,0.362,0.237,1.911,0.416945373467113,0.307692307692308,0.27536231884058,3.051,-0.751,-0.136,0.632,1.911,0.142,0.196,0.256,0.273132664437012,0.201783723522854,0.250836120401338,0.274247491638796,-0.775,3.05,0.637,-0.36,0.014,0.126,1.911,0.252,0.105,0.105,0.182831661092531,0.273132664437012,0.269788182831661,0.124860646599777,0.149386845039019,"control"
"18","C53",0.597,-0.483,0.48,0.258,0.447045707915273,0.552954292084727,1.179,0.312,-0.492,0.354,0.222,0.253,0.141583054626533,0.319955406911929,0.538461538461538,0.315,-0.757,-0.316,1.179,0.22,0.147,0.123,0.354,0.31438127090301,0.215161649944259,0.328874024526198,0.141583054626533,-0.215,0.126,-0.424,0.847,-0.762,0.064,0.119,0.054,0.418,0.144,0.160535117056856,0.172798216276477,0.166109253065775,0.289855072463768,0.210702341137124,"control"
"19","C54",-0.324,-1.163,0.416,0.23,0.415830546265329,0.584169453734671,-1.404,-0.999,-0.311,0.139,0.11,0.413,0.230769230769231,0.364548494983278,0.404682274247492,0.082,-1.405,-0.634,-1.022,0.335,0.138,0.126,0.094,0.176142697881828,0.229654403567447,0.270903010033445,0.32329988851728,0.085,-1.112,-0.616,-0.935,-1.408,0.334,0.041,0.117,0.061,0.136,0.176142697881828,0.15273132664437,0.246376811594203,0.199554069119286,0.225195094760312,"control"
"20","C55",-0.089,-0.941,0.368,0.248,0.470457079152731,0.529542920847269,-0.613,-1.101,0.063,0.145,0.192,0.332,0.352285395763657,0.312151616499443,0.335562987736901,0.236,-1.228,-0.805,-0.395,0.286,0.134,0.097,0.131,0.215161649944259,0.189520624303233,0.297658862876254,0.297658862876254,-0.806,-1.228,0.494,0.003,-0.405,0.096,0.134,0.209,0.106,0.126,0.297658862876254,0.189520624303233,0.0981047937569677,0.127090301003344,0.287625418060201,"control"
"21","C56",0.008,-0.643,0.35,0.165,0.420289855072464,0.579710144927536,-0.778,-0.437,0.155,0.101,0.101,0.328,0.302118171683389,0.411371237458194,0.286510590858417,-0.302,-0.781,-0.506,0.209,0.066,0.099,0.056,0.318,0.186176142697882,0.302118171683389,0.259754738015608,0.251950947603122,-0.506,-0.781,0.48,-0.074,-0.319,0.056,0.099,0.239,0.079,0.052,0.259754738015608,0.302118171683389,0.12263099219621,0.150501672240803,0.164994425863991,"control"
