"","Subject","class","angle_sum","dis_sum","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"11","C12","experiment",0.389257946286211,-25.2106192672736,0.102,0.046,0.05,0.011,0.378165938864629,0.621834061135371,0.055,0.112,0.033,0.005,0.042,0.011,0.31528384279476,0.34129063561378,0.34342552159146,0.055,0.038,0.112,0.018,0.005,0.005,0.042,0.01,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915,0.06,0.051,0.033,0.162,0.086,0.003,0.002,0.011,0.032,0.009,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393
"12","C13","experiment",0.404517564298152,-44.8045459476774,0.59,0.191,0.22,0.081,0.288864142538976,0.711135857461024,0.689,0.111,0.276,0.194,0.026,0.06,0.199331848552339,0.320155902004454,0.480512249443207,0.699,0.341,0.235,0.11,0.191,0.033,0.035,0.025,0.192984409799555,0.191870824053452,0.300779510022272,0.314365256124722,0.209,0.699,0.277,0.348,0.109,0.023,0.19,0.013,0.03,0.024,0.188307349665924,0.192538975501114,0.143541202672606,0.168708240534521,0.306904231625835
"13","C15","experiment",0.639860064313048,135.447881483511,0.099,0.036,0.025,0.014,0.213423891330404,0.786576108669596,0.047,0.098,0.02,0.006,0.025,0.003,0.455133839392729,0.221654015181782,0.323212145425489,0.04,0.093,0.02,0.05,0.004,0.027,0.003,0.002,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029,0.049,0.065,0.04,0.02,0.111,0.002,0.008,0.004,0.003,0.019,0.240990811026768,0.114742309228925,0.174990011985617,0.318337994406712,0.150938873351978
"14","C17","experiment",0.556661320504574,143.886655954651,0.181,0.085,0.042,0.022,0.441948922296685,0.558051077703315,0.19,0.111,0.068,0.039,0.013,0.015,0.373754754573447,0.313982974098895,0.312262271327658,0.139,0.207,0.065,0.1,0.013,0.034,0.013,0.009,0.217080239087122,0.262361890961782,0.260369498279297,0.260188371671799,0.102,0.207,0.139,0.05,0.076,0.008,0.034,0.013,0.007,0.007,0.225140373120811,0.26136569462054,0.214272776670893,0.0956348487592827,0.203586306828473
"15","C18","experiment",0.401141625133397,-45.6450278673841,0.074,0.221,0.016,0.093,0.440386680988185,0.559613319011815,0.073,0.337,0.159,0.015,0.061,0.032,0.425349087003222,0.188848745239723,0.385802167757055,0.185,0.338,0.12,0.067,0.02,0.06,0.018,0.009,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869,0.192,0.1,0.066,0.139,0.337,0.015,0.009,0.009,0.012,0.06,0.168440581974417,0.12987012987013,0.330534127526609,0.182892295674251,0.188262864954594
"16","C19","experiment",0.666382859001045,-140.480986166183,0.049,0.114,0.009,0.035,0.498422215209845,0.501577784790155,0.041,0.12,0.06,0.004,0.033,0.008,0.253155569580309,0.4367308299148,0.310113600504891,0.041,0.14,0.056,0.084,0.004,0.028,0.004,0.012,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745,0.045,0.056,0.038,0.088,0.145,0.002,0.004,0.003,0.013,0.027,0.120621647207321,0.227358788261281,0.136320605869359,0.291969075418113,0.223729883243926
"17","C20","experiment",0.599063726067599,142.235969569745,0.101,0.042,0.023,0.014,0.618793503480278,0.381206496519722,0.056,0.102,0.031,0.007,0.023,0.008,0.192884764114462,0.602320185614849,0.204795050270688,0.058,0.032,0.126,0.089,0.008,0.008,0.02,0.006,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647,0.034,0.08,0.092,0.123,0.059,0.009,0.005,0.002,0.021,0.005,0.252977571539056,0.149574632637278,0.212219644238206,0.24215003866976,0.1430781129157
"18","C21","experiment",0.485619977345711,-86.0346088800356,0.077,0.149,0.021,0.026,0.471004108149422,0.528995891850578,0.067,0.159,0.11,0.016,0.023,0.01,0.335148562147702,0.400305722747683,0.264545715104614,0.067,0.147,0.182,0.112,0.016,0.005,0.022,0.011,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391,0.08,0.056,0.101,0.16,0.119,0.006,0.012,0.005,0.022,0.005,0.146173688736028,0.183338110251266,0.133084933600841,0.394382344511321,0.143020922900545
"19","C22","experiment",1.06259967400573,-67.4262309696492,0.316,0.132,0.108,0.044,0.391558275356586,0.608441724643414,0.326,0.174,0.097,0.108,0.021,0.029,0.356818763524676,0.320310863950485,0.322870372524839,0.411,0.247,0.167,0.096,0.111,0.029,0.017,0.029,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387,0.411,0.248,0.121,0.169,0.071,0.111,0.028,0.012,0.016,0.021,0.159503920701771,0.243246387602671,0.181027060986109,0.266886939525793,0.149335691183656
"20","C23","experiment",0.597510075224891,111.353604845772,0.281,0.159,0.051,0.036,0.359542857142857,0.640457142857143,0.201,0.296,0.133,0.015,0.047,0.022,0.340419047619048,0.284571428571429,0.375009523809524,0.202,0.118,0.296,0.155,0.014,0.015,0.047,0.011,0.328990476190476,0.212190476190476,0.284647619047619,0.174171428571429,0.195,0.134,0.281,0.361,0.228,0.01,0.022,0.015,0.031,0.011,0.249980952380952,0.377219047619048,0.157104761904762,0.0784761904761905,0.137219047619048
"21","C24","experiment",0.913072456800212,-114.227804086997,0.128,0.056,0.031,0.019,0.346979158635931,0.653020841364069,0.079,0.133,0.044,0.008,0.029,0.013,0.277002544136921,0.301107599002904,0.421889856860175,0.08,0.033,0.056,0.133,0.007,0.009,0.006,0.029,0.248914244596921,0.201243800272403,0.24798910389844,0.301852851232236,0.056,0.163,0.033,0.113,0.079,0.006,0.024,0.009,0.012,0.006,0.248323182484003,0.114897335080821,0.201320895330609,0.200781229923162,0.234677357181405
"22","C30","control",0.610204771375492,-90.9753599857539,0.158,0.294,0.029,0.066,0.492753623188406,0.507246376811594,0.156,0.256,0.382,0.028,0.033,0.044,0.469342251950948,0.387959866220736,0.142697881828317,0.385,0.223,0.286,0.154,0.043,0.017,0.016,0.026,0.137123745819398,0.208472686733556,0.204013377926421,0.450390189520624,0.385,0.131,0.173,0.284,0.221,0.043,0.02,0.009,0.017,0.016,0.137123745819398,0.208472686733556,0.235228539576366,0.208472686733556,0.210702341137124
"23","C31","control",0.753753078190902,-115.3822845036,0.416,0.194,0.122,0.051,0.229654403567447,0.770345596432553,0.152,0.421,0.242,0.027,0.121,0.022,0.409141583054627,0.224080267558528,0.366778149386845,0.514,0.236,0.152,0.321,0.122,0.016,0.028,0.039,0.102564102564103,0.307692307692308,0.412486064659978,0.177257525083612,0.168,0.422,0.123,0.257,0.219,0.013,0.121,0.016,0.015,0.012,0.234113712374582,0.219620958751394,0.159420289855072,0.221850613154961,0.164994425863991
"24","C32","control",0.496671312246826,-47.8944836261251,0.303,0.118,0.08,0.039,0.288740245261984,0.711259754738016,0.118,0.38,0.241,0.039,0.051,0.027,0.710144927536232,0.127090301003344,0.162764771460424,0.38,0.142,0.072,0.241,0.051,0.022,0.017,0.027,0.127090301003344,0.461538461538462,0.24860646599777,0.162764771460424,0.072,0.125,0.163,0.242,0.38,0.017,0.011,0.012,0.026,0.052,0.244147157190635,0.258639910813824,0.208472686733556,0.16164994425864,0.127090301003344
"25","C33","control",0.614848621405815,-123.512706558823,0.243,0.141,0.056,0.019,0.465997770345596,0.534002229654404,0.197,0.137,0.297,0.02,0.016,0.043,0.338907469342252,0.462653288740245,0.198439241917503,0.289,0.193,0.119,0.146,0.046,0.018,0.012,0.008,0.226309921962096,0.316610925306577,0.154960981047938,0.302118171683389,0.221,0.126,0.151,0.306,0.184,0.013,0.013,0.006,0.04,0.012,0.156075808249721,0.269788182831661,0.187290969899666,0.169453734671126,0.217391304347826
"26","C34","control",0.762090367562925,-56.8283301334302,0.151,0.346,0.046,0.075,0.434782608695652,0.565217391304348,0.152,0.428,0.291,0.046,0.042,0.028,0.438127090301003,0.22742474916388,0.334448160535117,0.428,0.268,0.315,0.151,0.041,0.015,0.015,0.046,0.226309921962096,0.168338907469342,0.17056856187291,0.434782608695652,0.272,0.118,0.315,0.428,0.206,0.012,0.023,0.015,0.042,0.02,0.147157190635452,0.263099219620959,0.17056856187291,0.226309921962096,0.192865105908584
"27","C35","control",0.634054911552202,-80.1973053521656,0.137,0.244,0.033,0.041,0.521739130434783,0.478260869565217,0.214,0.285,0.133,0.02,0.034,0.031,0.338907469342252,0.180602006688963,0.480490523968785,0.301,0.226,0.161,0.107,0.03,0.018,0.015,0.024,0.127090301003344,0.335562987736901,0.312151616499443,0.225195094760312,0.074,0.267,0.148,0.2,0.105,0.006,0.036,0.012,0.018,0.012,0.0602006688963211,0.293199554069119,0.297658862876254,0.264214046822742,0.084726867335563
"28","C36","control",0.748072005867702,-100.059325908609,0.5,0.342,0.086,0.05,0.32329988851728,0.67670011148272,0.373,0.279,0.502,0.023,0.025,0.085,0.459308807134894,0.224080267558528,0.316610925306577,0.277,0.388,0.501,0.347,0.023,0.012,0.085,0.011,0.216276477146042,0.276477146042363,0.321070234113712,0.186176142697882,0.388,0.257,0.349,0.501,0.299,0.012,0.011,0.009,0.085,0.017,0.276477146042363,0.102564102564103,0.173913043478261,0.321070234113712,0.125975473801561
"29","C37","control",0.700680985370354,-60.5399658437648,0.248,0.113,0.058,0.032,0.392419175027871,0.607580824972129,0.084,0.252,0.142,0.016,0.057,0.016,0.297658862876254,0.372352285395764,0.329988851727982,0.085,0.178,0.137,0.276,0.016,0.013,0.011,0.048,0.297658862876254,0.163879598662207,0.265328874024526,0.273132664437012,0.137,0.178,0.231,0.085,0.313,0.011,0.013,0.012,0.016,0.034,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019
"30","C38","control",0.678189337209095,-113.546651793537,0.156,0.253,0.031,0.031,0.49386845039019,0.50613154960981,0.188,0.257,0.129,0.016,0.029,0.014,0.289855072463768,0.459308807134894,0.250836120401338,0.129,0.245,0.3,0.189,0.014,0.014,0.025,0.017,0.255295429208473,0.346711259754738,0.105908584169454,0.292084726867336,0.121,0.226,0.269,0.158,0.194,0.008,0.009,0.026,0.013,0.008,0.182831661092531,0.166109253065775,0.321070234113712,0.162764771460424,0.167224080267559
"31","C41","control",0.699781180663874,124.589816522071,0.201,0.376,0.055,0.068,0.597547380156076,0.402452619843924,0.142,0.239,0.378,0.034,0.025,0.067,0.230769230769231,0.38015607580825,0.389074693422519,0.142,0.234,0.421,0.302,0.034,0.022,0.049,0.019,0.229654403567447,0.335562987736901,0.239687848383501,0.195094760312152,0.393,0.234,0.301,0.142,0.485,0.029,0.022,0.018,0.034,0.021,0.172798216276477,0.335562987736901,0.190635451505017,0.229654403567447,0.0713489409141583
"32","C42","control",0.53986703783218,-129.008558122112,0.106,0.197,0.028,0.036,0.566332218506132,0.433667781493868,0.091,0.148,0.221,0.022,0.017,0.026,0.375696767001115,0.374581939799331,0.249721293199554,0.111,0.221,0.072,0.15,0.008,0.026,0.017,0.016,0.22742474916388,0.249721293199554,0.178372352285396,0.344481605351171,0.163,0.223,0.108,0.072,0.131,0.011,0.025,0.006,0.017,0.007,0.210702341137124,0.239687848383501,0.177257525083612,0.178372352285396,0.193979933110368
"33","C43","control",0.654557615727787,178.410535894793,0.062,0.155,0.022,0.042,0.474916387959866,0.525083612040134,0.156,0.045,0.081,0.042,0.015,0.011,0.511705685618729,0.235228539576366,0.253065774804905,0.197,0.044,0.126,0.081,0.033,0.015,0.012,0.01,0.21850613154961,0.235228539576366,0.302118171683389,0.244147157190635,0.273,0.126,0.08,0.044,0.189,0.015,0.013,0.01,0.015,0.017,0.0256410256410256,0.313266443701226,0.243032329988852,0.235228539576366,0.182831661092531
"34","C46","control",0.612118649153392,-132.927281441632,0.174,0.266,0.022,0.065,0.603121516164994,0.396878483835006,0.179,0.179,0.298,0.041,0.008,0.043,0.450390189520624,0.284280936454849,0.265328874024526,0.297,0.182,0.211,0.146,0.043,0.005,0.012,0.024,0.269788182831661,0.222965440356745,0.241917502787068,0.265328874024526,0.145,0.287,0.261,0.211,0.179,0.011,0.028,0.155,0.012,0.008,0.17056856187291,0.237458193979933,0.0490523968784838,0.246376811594203,0.29654403567447
"35","C47","control",0.748812202967471,-113.711798822237,0.143,0.072,0.021,0.021,0.455964325529543,0.544035674470457,0.06,0.095,0.144,0.014,0.007,0.021,0.351170568561873,0.197324414715719,0.451505016722408,0.06,0.095,0.13,0.167,0.014,0.007,0.009,0.011,0.351170568561873,0.199554069119286,0.278706800445931,0.17056856187291,0.12,0.072,0.133,0.146,0.171,0.005,0.021,0.003,0.006,0.009,0.12263099219621,0.544035674470457,0.114827201783724,0.0824972129319955,0.136008918617614
"36","C48","control",0.700428248344864,-90.8039692514406,0.148,0.084,0.027,0.019,0.334448160535117,0.665551839464883,0.098,0.063,0.149,0.009,0.011,0.027,0.404682274247492,0.260869565217391,0.334448160535117,0.149,0.058,0.081,0.1,0.027,0.007,0.005,0.007,0.32329988851728,0.199554069119286,0.11371237458194,0.363433667781494,0.107,0.058,0.08,0.152,0.092,0.006,0.007,0.004,0.026,0.003,0.230769230769231,0.199554069119286,0.103678929765886,0.295429208472687,0.17056856187291
"37","C49","experiment",0.616964775114529,125.372410994469,0.056,0.129,0.021,0.045,0.473277590337881,0.526722409662119,0.041,0.147,0.088,0.013,0.049,0.013,0.276514595863283,0.331328541391619,0.392156862745098,0.084,0.233,0.041,0.124,0.011,0.062,0.013,0.012,0.330448388831842,0.0598014767004059,0.272016038335534,0.337734096132218,0.037,0.088,0.024,0.053,0.146,0.004,0.013,0.003,0.004,0.049,0.0657180577966848,0.394944012517725,0.0780890909979952,0.128013300083126,0.333235538604469
"38","C51","control",0.478890766653544,7.105427357601e-15,0.136,0.285,0.025,0.077,0.670011148272018,0.329988851727982,0.294,0.168,0.121,0.075,0.015,0.014,0.299888517279822,0.250836120401338,0.449275362318841,0.177,0.116,0.296,0.144,0.012,0.011,0.075,0.007,0.181716833890747,0.338907469342252,0.294314381270903,0.185061315496098,0.296,0.144,0.122,0.103,0.176,0.075,0.007,0.006,0.01,0.012,0.294314381270903,0.185061315496098,0.229654403567447,0.109253065774805,0.181716833890747
"39","C52","control",0.708705110916161,-44.942155017063,0.508,0.181,0.208,0.064,0.284280936454849,0.71571906354515,0.23,0.119,0.515,0.039,0.026,0.208,0.416945373467113,0.307692307692308,0.27536231884058,0.518,0.103,0.17,0.254,0.208,0.015,0.021,0.028,0.273132664437012,0.201783723522854,0.250836120401338,0.274247491638796,0.101,0.517,0.255,0.146,0.187,0.014,0.208,0.027,0.011,0.011,0.182831661092531,0.273132664437012,0.269788182831661,0.124860646599777,0.149386845039019
"40","C57","experiment",1.49909940556343,136.363935244214,0.023,0.057,0.007,0.021,0.568199443456047,0.431800556543953,0.036,0.019,0.069,0.005,0.005,0.02,0.338168879156973,0.417750102641303,0.244081018201724,0.025,0.016,0.037,0.069,0.002,0.003,0.005,0.02,0.200720770037863,0.245517996441768,0.313238447151134,0.240522786369235,0.033,0.077,0.016,0.045,0.024,0.003,0.018,0.003,0.005,0.002,0.190023265361982,0.170407371926463,0.242529994069614,0.210962091145477,0.186077277496465
"41","C58","experiment",0.574038321671637,-107.354796536071,0.122,0.044,0.04,0.015,0.355182699478002,0.644817300521998,0.022,0.115,0.05,0.007,0.042,0.005,0.163758389261745,0.408351976137211,0.427889634601044,0.071,0.156,0.099,0.041,0.007,0.032,0.009,0.014,0.134973900074571,0.164578672632364,0.126696495152871,0.573750932140194,0.017,0.083,0.151,0.03,0.05,0.003,0.014,0.034,0.005,0.005,0.0991797166293811,0.234451901565996,0.186353467561521,0.0743475018642804,0.405667412378822
"42","C60","experiment",0.388342243192973,-46.4957580203456,0.069,0.026,0.023,0.008,0.490743895513913,0.509256104486087,0.088,0.025,0.05,0.019,0.007,0.007,0.23259511641113,0.458943781942078,0.308461101646792,0.034,0.052,0.019,0.089,0.004,0.005,0.004,0.019,0.250085178875639,0.254968767745599,0.263827370812039,0.231118682566723,0.059,0.095,0.019,0.045,0.032,0.005,0.016,0.004,0.004,0.003,0.189210675752413,0.177512776831346,0.26496308915389,0.164679159568427,0.203634298693924
