"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"38","C15",0.099,0.036,0.025,0.014,0.213423891330404,0.786576108669596,0.047,0.098,0.02,0.006,0.025,0.003,0.455133839392729,0.221654015181782,0.323212145425489,0.04,0.093,0.02,0.05,0.004,0.027,0.003,0.002,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029,0.049,0.065,0.04,0.02,0.111,0.002,0.008,0.004,0.003,0.019,0.240990811026768,0.114742309228925,0.174990011985617,0.318337994406712,0.150938873351978,"experiment"
"39","C17",0.181,0.085,0.042,0.022,0.441948922296685,0.558051077703315,0.19,0.111,0.068,0.039,0.013,0.015,0.373754754573447,0.313982974098895,0.312262271327658,0.139,0.207,0.065,0.1,0.013,0.034,0.013,0.009,0.217080239087122,0.262361890961782,0.260369498279297,0.260188371671799,0.102,0.207,0.139,0.05,0.076,0.008,0.034,0.013,0.007,0.007,0.225140373120811,0.26136569462054,0.214272776670893,0.0956348487592827,0.203586306828473,"experiment"
"40","C18",0.074,0.221,0.016,0.093,0.440386680988185,0.559613319011815,0.073,0.337,0.159,0.015,0.061,0.032,0.425349087003222,0.188848745239723,0.385802167757055,0.185,0.338,0.12,0.067,0.02,0.06,0.018,0.009,0.209940435504345,0.186798164241773,0.260130846597012,0.343130553656869,0.192,0.1,0.066,0.139,0.337,0.015,0.009,0.009,0.012,0.06,0.168440581974417,0.12987012987013,0.330534127526609,0.182892295674251,0.188262864954594,"experiment"
"41","C19",0.049,0.114,0.009,0.035,0.498422215209845,0.501577784790155,0.041,0.12,0.06,0.004,0.033,0.008,0.253155569580309,0.4367308299148,0.310113600504891,0.041,0.14,0.056,0.084,0.004,0.028,0.004,0.012,0.243531082360366,0.259151151782897,0.234616598295992,0.262701167560745,0.045,0.056,0.038,0.088,0.145,0.002,0.004,0.003,0.013,0.027,0.120621647207321,0.227358788261281,0.136320605869359,0.291969075418113,0.223729883243926,"experiment"
"42","C20",0.101,0.042,0.023,0.014,0.618793503480278,0.381206496519722,0.056,0.102,0.031,0.007,0.023,0.008,0.192884764114462,0.602320185614849,0.204795050270688,0.058,0.032,0.126,0.089,0.008,0.008,0.02,0.006,0.202397525135344,0.214075792730085,0.216550657385924,0.366976024748647,0.034,0.08,0.092,0.123,0.059,0.009,0.005,0.002,0.021,0.005,0.252977571539056,0.149574632637278,0.212219644238206,0.24215003866976,0.1430781129157,"experiment"
"43","C21",0.077,0.149,0.021,0.026,0.471004108149422,0.528995891850578,0.067,0.159,0.11,0.016,0.023,0.01,0.335148562147702,0.400305722747683,0.264545715104614,0.067,0.147,0.182,0.112,0.016,0.005,0.022,0.011,0.335530715582306,0.228050062099933,0.150186299799369,0.286232922518391,0.08,0.056,0.101,0.16,0.119,0.006,0.012,0.005,0.022,0.005,0.146173688736028,0.183338110251266,0.133084933600841,0.394382344511321,0.143020922900545,"experiment"
"44","C22",0.316,0.132,0.108,0.044,0.391558275356586,0.608441724643414,0.326,0.174,0.097,0.108,0.021,0.029,0.356818763524676,0.320310863950485,0.322870372524839,0.411,0.247,0.167,0.096,0.111,0.029,0.017,0.029,0.159713335039672,0.244060776694511,0.283989110454429,0.312236777811387,0.411,0.248,0.121,0.169,0.071,0.111,0.028,0.012,0.016,0.021,0.159503920701771,0.243246387602671,0.181027060986109,0.266886939525793,0.149335691183656,"experiment"
"45","C23",0.281,0.159,0.051,0.036,0.359542857142857,0.640457142857143,0.201,0.296,0.133,0.015,0.047,0.022,0.340419047619048,0.284571428571429,0.375009523809524,0.202,0.118,0.296,0.155,0.014,0.015,0.047,0.011,0.328990476190476,0.212190476190476,0.284647619047619,0.174171428571429,0.195,0.134,0.281,0.361,0.228,0.01,0.022,0.015,0.031,0.011,0.249980952380952,0.377219047619048,0.157104761904762,0.0784761904761905,0.137219047619048,"experiment"
"46","C24",0.128,0.056,0.031,0.019,0.346979158635931,0.653020841364069,0.079,0.133,0.044,0.008,0.029,0.013,0.277002544136921,0.301107599002904,0.421889856860175,0.08,0.033,0.056,0.133,0.007,0.009,0.006,0.029,0.248914244596921,0.201243800272403,0.24798910389844,0.301852851232236,0.056,0.163,0.033,0.113,0.079,0.006,0.024,0.009,0.012,0.006,0.248323182484003,0.114897335080821,0.201320895330609,0.200781229923162,0.234677357181405,"experiment"
"47","C49",0.056,0.129,0.021,0.045,0.473277590337881,0.526722409662119,0.041,0.147,0.088,0.013,0.049,0.013,0.276514595863283,0.331328541391619,0.392156862745098,0.084,0.233,0.041,0.124,0.011,0.062,0.013,0.012,0.330448388831842,0.0598014767004059,0.272016038335534,0.337734096132218,0.037,0.088,0.024,0.053,0.146,0.004,0.013,0.003,0.004,0.049,0.0657180577966848,0.394944012517725,0.0780890909979952,0.128013300083126,0.333235538604469,"experiment"
"48","C57",0.023,0.057,0.007,0.021,0.568199443456047,0.431800556543953,0.036,0.019,0.069,0.005,0.005,0.02,0.338168879156973,0.417750102641303,0.244081018201724,0.025,0.016,0.037,0.069,0.002,0.003,0.005,0.02,0.200720770037863,0.245517996441768,0.313238447151134,0.240522786369235,0.033,0.077,0.016,0.045,0.024,0.003,0.018,0.003,0.005,0.002,0.190023265361982,0.170407371926463,0.242529994069614,0.210962091145477,0.186077277496465,"experiment"
"49","C58",0.122,0.044,0.04,0.015,0.355182699478002,0.644817300521998,0.022,0.115,0.05,0.007,0.042,0.005,0.163758389261745,0.408351976137211,0.427889634601044,0.071,0.156,0.099,0.041,0.007,0.032,0.009,0.014,0.134973900074571,0.164578672632364,0.126696495152871,0.573750932140194,0.017,0.083,0.151,0.03,0.05,0.003,0.014,0.034,0.005,0.005,0.0991797166293811,0.234451901565996,0.186353467561521,0.0743475018642804,0.405667412378822,"experiment"
"50","C60",0.069,0.026,0.023,0.008,0.490743895513913,0.509256104486087,0.088,0.025,0.05,0.019,0.007,0.007,0.23259511641113,0.458943781942078,0.308461101646792,0.034,0.052,0.019,0.089,0.004,0.005,0.004,0.019,0.250085178875639,0.254968767745599,0.263827370812039,0.231118682566723,0.059,0.095,0.019,0.045,0.032,0.005,0.016,0.004,0.004,0.003,0.189210675752413,0.177512776831346,0.26496308915389,0.164679159568427,0.203634298693924,"experiment"
