"","Subject","angle_sum","dis_sum","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"29","C37",-60.5399658437648,0.700680985370354,-0.442,-0.062,0.426,-0.922,1.172,0.104,0.117,0.113,0.15,0.308,0.265328874024526,0.163879598662207,0.123745819397993,0.297658862876254,0.149386845039019
"30","C38",-113.546651793537,0.678189337209095,-0.584,0.374,0.771,-0.247,0.086,0.075,0.085,0.242,0.115,0.071,0.182831661092531,0.158305462653289,0.328874024526198,0.162764771460424,0.167224080267559
"31","C41",124.589816522071,0.699781180663874,1.912,0.447,1.067,-0.397,2.757,0.266,0.198,0.169,0.308,0.189,0.172798216276477,0.335562987736901,0.190635451505017,0.229654403567447,0.0713489409141583
"32","C42",-129.008558122112,0.53986703783218,-0.204,0.346,-0.71,-1.038,-0.494,0.098,0.231,0.055,0.154,0.065,0.210702341137124,0.239687848383501,0.177257525083612,0.178372352285396,0.193979933110368
"33","C43",178.410535894793,0.654557615727787,0.804,-0.539,-0.96,-1.29,0.032,0.136,0.118,0.094,0.14,0.157,0.0256410256410256,0.313266443701226,0.243032329988852,0.235228539576366,0.182831661092531
"34","C46",-132.927281441632,0.612118649153392,-0.369,0.935,0.696,0.237,-0.059,0.103,0.254,1.426,0.112,0.07,0.17056856187291,0.237458193979933,0.0490523968784838,0.246376811594203,0.29654403567447
"35","C47",-113.711798822237,0.748812202967471,-0.596,-1.035,-0.476,-0.362,-0.129,0.05,0.19,0.026,0.052,0.084,0.12263099219621,0.544035674470457,0.114827201783724,0.0824972129319955,0.136008918617614
"36","C48",-90.8039692514406,0.700428248344864,-0.721,-1.165,-0.962,-0.306,-0.85,0.057,0.069,0.037,0.238,0.027,0.230769230769231,0.199554069119286,0.103678929765886,0.295429208472687,0.17056856187291
"37","C49",125.372410994469,0.616964775114529,-0.719,-0.234,-0.843,-0.564,0.323,0.036,0.127,0.032,0.043,0.466,0.0657180577966848,0.394895115153293,0.0780890909979952,0.128013300083126,0.333284435968901
"38","C51",7.105427357601e-15,0.478890766653544,1.018,-0.376,-0.581,-0.752,-0.079,0.684,0.065,0.053,0.089,0.112,0.294314381270903,0.185061315496098,0.229654403567447,0.109253065774805,0.181716833890747
"39","C52",-44.942155017063,0.708705110916161,-0.775,3.05,0.637,-0.36,0.014,0.126,1.911,0.252,0.105,0.105,0.182831661092531,0.273132664437012,0.269788182831661,0.124860646599777,0.149386845039019
"40","C57",136.363935244214,1.49909940556343,-0.76,-0.334,-0.919,-0.648,-0.84,0.025,0.176,0.031,0.043,0.02,0.190023265361982,0.17038456274805,0.242529994069614,0.21098490032389,0.186077277496465
"41","C58",-107.354796536071,0.574038321671637,-0.912,-0.285,0.368,-0.781,-0.599,0.033,0.132,0.321,0.05,0.044,0.0992542878448919,0.234451901565996,0.186353467561521,0.0742729306487696,0.405667412378822
"42","C60",-46.4957580203456,0.388342243192973,-0.511,-0.161,-0.889,-0.642,-0.763,0.047,0.152,0.035,0.038,0.029,0.189097103918228,0.177512776831346,0.26496308915389,0.164792731402612,0.203634298693924
