"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"263","CTEEG004",-572.927302220691,-1262.55844373498,-1753.06653652837,-2008.63135613144,"experiment","12"
"264","CTEEG005",-2521.39648394197,-3093.98484700268,-3616.84921497115,-4014.38427648796,"experiment","12"
"265","CTEEG006",-1136.80859011301,-1762.00813406222,-2051.78693554714,-2292.1791141328,"experiment","12"
"266","CTEEG008",-1746.4057448558,-2420.81259181944,-2917.62521393841,-3104.60749346387,"experiment","12"
"267","CTEEG009",-8478.47966361301,-12307.5578781949,-16232.646922315,-18350.1203705715,"experiment","12"
"268","CTEEG011",-1979.25125017816,-2879.60216079029,-3299.20738324029,-3631.04580058037,"experiment","12"
"269","CTEEG012",-1716.34230222935,-2703.57717670238,-3253.32233206402,-3570.26233448831,"experiment","12"
"270","CTEEG013",-1537.92797881733,-1851.89340142204,-2340.43628305796,-2131.4442773589,"experiment","12"
"271","CTEEG015",-1030.86238802666,-1635.36854802256,-1952.25951977355,-2407.36709499997,"experiment","12"
"272","CTEEG017",-2328.73969142527,-2697.15538810689,-3200.47608643562,-3514.31583988797,"experiment","12"
"273","CTEEG018",-974.38110336476,-1292.8675132381,-1685.56410263047,-1913.95531867022,"experiment","12"
"274","CTEEG019",-1912.3505217677,-2652.13359602192,-2981.09397485205,-3295.49975044362,"experiment","12"
"275","CTEEG021",-2400.08690569343,-2853.44705325388,-3250.95835353698,-3179.29008532911,"experiment","12"
"276","CTEEG022",-2449.30973211719,-4627.67936576164,-5980.51500673782,-6949.69757475184,"experiment","12"
"277","CTEEG023",-1720.63003725171,-2198.64111964693,-2538.28387760695,-3058.28335590681,"experiment","12"
"278","CTEEG024",-6952.6155334366,-8350.59937093002,-9772.67501725462,-10457.095200981,"experiment","12"
"279","CTEEG049",-2239.61550433628,-3419.18852140113,-4162.97767947141,-4572.40153483086,"experiment","12"
"280","CTEEG057",-7244.71700432904,-9204.26274764355,-11050.6490889932,-12402.1569726813,"experiment","12"
"281","CTEEG058",-1965.69243188533,-2691.52261000236,-3179.38915317783,-3429.21078226646,"experiment","12"
"282","CTEEG060",-1549.35008505319,-2028.3823996439,-2378.36665745464,-2616.40108266574,"experiment","12"
