"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"63","CTEEG046",-7199.72207629104,-10730.5510605596,-13911.6701761557,-16161.4994603555,"control","1"
"64","CTEEG047",-10210.1874258904,-14396.6235034932,-16937.4104286169,-19586.2220417362,"control","1"
"65","CTEEG048",-15174.7685109994,-18932.7464520371,-21691.6311151889,-24024.7575094758,"control","1"
"66","CTEEG051",-7636.80597666054,-11969.3256412683,-14606.8834067121,-16247.4090630853,"control","1"
"67","CTEEG052",-8241.78784018075,-11621.314168575,-14468.7976356713,-16571.2275790485,"control","1"
"68","CTEEG053",-10754.8729741473,-13854.9898338738,-16357.3906635906,-18556.9083115692,"control","1"
"69","CTEEG054",-15715.8848314186,-19167.751401389,-21992.3941108665,-23740.5741284053,"control","1"
"70","CTEEG055",-10324.3920332435,-14847.6716611862,-17878.2223145525,-19858.3408026077,"control","1"
"71","CTEEG056",-15590.7996786634,-19824.7202776302,-21738.5870096777,-24034.055350637,"control","1"
"72","CTEEG059",-7311.94996142167,-10997.6246481694,-13769.0037523902,-15406.2772726762,"control","1"
"73","CTEEG061",-10298.6981273031,-14099.7764009716,-17281.7827537063,-19197.2372519002,"control","1"
"74","CTEEG062",-17992.8553500288,-22001.208049251,-25111.7282959573,-27856.8665065467,"control","1"
"75","CTEEG065",-12874.9775085727,-16420.9301805381,-19568.1022249334,-21477.6296642706,"control","1"
"76","CTEEG030",1247.86104817688,293.157226464873,-39.9561584779118,-478.13227831091,"control","12"
"77","CTEEG031",1349.66212689642,737.844152501117,86.2379151050808,-277.686905589038,"control","12"
"78","CTEEG032",1008.76574594094,141.341706245569,-371.753334235669,-791.035112619483,"control","12"
"79","CTEEG033",821.047955372016,270.314911516834,-280.698737139589,-829.644400349103,"control","12"
"80","CTEEG034",1643.75246090368,723.579164258466,477.797304105085,-96.9214351679,"control","12"
"81","CTEEG035",1118.78111464712,363.839480524802,-304.085939340931,-609.369876112076,"control","12"
"82","CTEEG036",1262.21976628329,682.814053056089,-46.2887205123542,-459.742545057251,"control","12"
"83","CTEEG037",726.078454981182,158.026052121415,-465.118401336255,-788.368029180972,"control","12"
"84","CTEEG038",399.8313221953,-185.68511842364,-718.904174120379,-985.967417316331,"control","12"
"85","CTEEG041",1243.86235291455,571.219290574364,-112.459957128639,-536.720159765045,"control","12"
"86","CTEEG042",609.684309976426,-124.178768401767,-581.066708761443,-998.778624188652,"control","12"
"87","CTEEG043",484.780683683614,-171.872871394316,-595.77072314036,-798.409020970474,"control","12"
"88","CTEEG046",1304.19437122265,633.373016081507,7.68382876059738,-456.968390735656,"control","12"
"89","CTEEG047",124.485171992495,-650.659552168588,-1068.12408352054,-1589.11610055672,"control","12"
"90","CTEEG048",-695.559770232545,-1514.22469454471,-1763.30706405087,-2244.69536000279,"control","12"
"91","CTEEG051",1164.21009714244,296.182099329678,-251.992746998279,-571.394360233055,"control","12"
"92","CTEEG052",2268.93621307566,1196.26833510851,804.809666514551,572.351818049201,"control","12"
"93","CTEEG053",609.10182259139,-233.398016929488,-863.935348510225,-1200.0312795087,"control","12"
"94","CTEEG054",968.9156527701,-47.6014934103651,-510.793131854453,-726.586984385107,"control","12"
"95","CTEEG055",431.079225209122,-323.451596305993,-716.133259993727,-1323.80480288712,"control","12"
"96","CTEEG056",-488.18662677551,-1308.11972279204,-1740.24839986078,-1989.91728531803,"control","12"
"97","CTEEG059",685.593001189599,-194.936370873546,-551.70041177609,-917.348463348086,"control","12"
"98","CTEEG061",806.08731213005,162.839228474929,-398.357831194701,-769.721325622576,"control","12"
"99","CTEEG062",-970.412386934548,-1825.71875418849,-1732.51053021886,-2541.29930596807,"control","12"
"100","CTEEG065",-182.76489136352,-836.754237012932,-1252.49066703345,-1468.27521883582,"control","12"
"101","CTEEG030",-2739.43609407634,-3694.13990011265,-4027.25328111043,-4465.42936840587,"control","12"
"102","CTEEG031",-2775.99548866927,-3387.81343327375,-4039.41966240954,-4403.3445092193,"control","12"
"103","CTEEG032",-3418.76925325782,-4286.19329059318,-4799.28831753221,-5218.56998676706,"control","12"
"104","CTEEG033",-3879.0152302514,-4429.74815905302,-4980.76185851891,-5529.70751252329,"control","12"
"105","CTEEG034",-2385.47208931,-3305.64539106404,-3551.42723350698,-4126.1459176877,"control","12"
"106","CTEEG035",-2935.59971972487,-3690.54152788295,-4358.46693665444,-4663.75083629608,"control","12"
"107","CTEEG036",-2616.0660949808,-3195.47179954071,-3924.57457303559,-4338.02840342635,"control","12"
"108","CTEEG037",-2992.88323487472,-3560.93563480786,-4184.08008477151,-4507.32971297161,"control","12"
"109","CTEEG038",-3449.10534829994,-4034.62175138539,-4567.84081746452,-4834.90405588451,"control","12"
"110","CTEEG041",-2756.0130149669,-3428.65607220072,-4112.33530957681,-4536.59549706563,"control","12"
"111","CTEEG042",-3390.19105664886,-4124.05411968598,-4580.94203611043,-4998.6539463893,"control","12"
"112","CTEEG043",-3494.13097596778,-4150.78449448465,-4574.68233534224,-4777.3205877866,"control","12"
"113","CTEEG046",-2691.48825624752,-3362.30961125716,-3987.9987931234,-4452.65100104119,"control","12"
"114","CTEEG047",-4093.41273277725,-4868.55747221237,-5286.02198551151,-5807.0140009436,"control","12"
"115","CTEEG048",-4552.88191815737,-5371.54684895421,-5620.62917981958,-6102.01736505313,"control","12"
"116","CTEEG051",-3204.62652088058,-4072.654474996,-4620.82934579755,-4940.23094490424,"control","12"
"117","CTEEG052",-1529.68756917906,-2602.35543800586,-2993.81410629602,-3226.27191097723,"control","12"
"118","CTEEG053",-3290.14772282023,-4132.6475904227,-4763.18490614748,-5099.28084336931,"control","12"
"119","CTEEG054",-2821.32264445692,-3837.83977856011,-4301.03140575995,-4516.82519885287,"control","12"
"120","CTEEG055",-3422.05019180667,-4176.58095613321,-4569.26259282428,-5176.93421639598,"control","12"
"121","CTEEG056",-4303.58136163192,-5123.51446094502,-5555.64310757651,-5805.31194975683,"control","12"
"122","CTEEG059",-3234.62027667152,-4115.14964020793,-4471.91365814732,-4837.56168054478,"control","12"
"123","CTEEG061",-3051.2348487647,-3694.48288768326,-4255.67995181054,-4627.04347862457,"control","12"
"124","CTEEG062",-5142.19015619211,-5997.49652602575,-5904.28823191573,-6713.0770544364,"control","12"
"125","CTEEG065",-3014.5030641052,-4689.883632879,-5105.62005879993,-5321.40442659107,"control","12"
"126","CTEEG030",-1427.34380174019,-2382.04761638665,-2715.16098427652,-3153.33709524728,"control","12"
"127","CTEEG031",-1418.37317522597,-2030.19113534868,-2681.79734896625,-3045.72219577601,"control","12"
"128","CTEEG032",-1961.80872175771,-2829.23275909306,-3342.32779857639,-3761.60949202153,"control","12"
"129","CTEEG033",-2332.37437246745,-2883.10734728342,-3434.12101659998,-3983.06667660737,"control","12"
"130","CTEEG034",-1059.58283563014,-1979.75612572083,-2225.53797576102,-2800.25667144603,"control","12"
"131","CTEEG035",-1601.43240515413,-2356.37407148085,-3024.29948025234,-3329.58340332767,"control","12"
"132","CTEEG036",-1339.84593947201,-1919.2516370051,-2648.35442180657,-3061.80824089074,"control","12"
"133","CTEEG037",-1769.09157631355,-2337.14397624669,-2960.28843327853,-3283.53806269984,"control","12"
"134","CTEEG038",-2182.54307423645,-2768.05949019089,-3301.27853723998,-3568.34177565998,"control","12"
"135","CTEEG041",-1439.78162902119,-2112.42468294777,-2796.10393237867,-3220.36412798339,"control","12"
"136","CTEEG042",-2073.95966739592,-2807.82274314516,-3264.71064685748,-3682.42258214312,"control","12"
"137","CTEEG043",-2184.79807407989,-2841.45161308256,-3265.34945729365,-3467.98771523239,"control","12"
"138","CTEEG046",-1376.63656670687,-2047.45791947722,-2673.14710134346,-3137.79932358006,"control","12"
"139","CTEEG047",-2705.4370878302,-3480.58182122585,-3898.04632766197,-4419.03834309405,"control","12"
"140","CTEEG048",-3283.56024298681,-4102.22517378365,-4351.30753310945,-4832.69573478389,"control","12"
"141","CTEEG051",-1766.98175734083,-2635.00972885749,-3183.18457891959,-3502.58619853757,"control","12"
"142","CTEEG052",-279.68165863066,-1352.34953452858,-1743.80819574762,-1976.26602027057,"control","12"
"143","CTEEG053",-2007.02908943178,-2849.52894052203,-3480.06626947475,-3816.16219346863,"control","12"
"144","CTEEG054",-1574.07612885454,-2590.59326295774,-3053.78489015758,-3269.57871173184,"control","12"
"145","CTEEG055",-2154.10821410913,-2908.63899924245,-3301.32064274022,-3908.99223869844,"control","12"
"146","CTEEG056",-3048.05666119148,-3867.98976050458,-4300.11843258375,-4549.78728474289,"control","12"
"147","CTEEG059",-1944.60314462792,-2825.13250294221,-3181.89654089481,-3547.54457202996,"control","12"
"148","CTEEG061",-1781.91317359414,-2425.16123237289,-2986.35829635741,-3357.72180345401,"control","12"
"149","CTEEG062",-3769.39117054569,-4624.69754037933,-4531.48924626931,-5340.27809215891,"control","12"
"150","CTEEG065",-2767.95231758688,-3421.94165518146,-3837.67808110239,-4053.46253032959,"control","12"
"151","CTEEG002",2343.09790942308,1620.23325901824,278.3174212269,-507.103211958616,"experiment","1"
"152","CTEEG003",7301.35706350142,4345.52740235947,2537.06159202315,837.136045092422,"experiment","1"
"153","CTEEG004",15891.8837763584,10881.301446491,6354.26128782286,3397.10860117751,"experiment","1"
"154","CTEEG005",1775.69924561836,-290.206410515968,-1901.92721955747,-3023.49079487033,"experiment","1"
"155","CTEEG006",311.734305393065,-810.540879442943,-1613.17383554871,-2149.06797786272,"experiment","1"
"156","CTEEG008",1158.68752429791,-43.3952332050754,-770.336323522414,-1709.87458466862,"experiment","1"
"157","CTEEG009",540.623889762738,19.1098416949556,-277.460443185634,-418.015849011839,"experiment","1"
